lakename,lakeid,lake_number,lake_abbr_biocom,plotid,site,plot,zone,type,source,species,scientific_name,common_name,diameter,diameter_estimated,length,length_estimated,length_range_code,branchiness,decay,comment_code,comments
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,12,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,N,CONIFER,,conifer,14,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,15,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,16.8,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,N,CONIFER,,conifer,17,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,STUMP,N,CONIFER,,conifer,19,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,315,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,13,0,370,0,2,0,4,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,14,0,380,0,2,0,3,0,
Little Rock Lake - South,LR,25,LRS,25431,4,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,15,0,410,0,2,0,4,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,LOG,N,QURU,Quercus rubra,northern red oak,10,0,620,0,3,3,3,99,99=Misc note: BRANCH
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,SNAG,N,BEPA,Betula papyrifera ,paper birch,11.3,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,SNAG,N,BEPA,Betula papyrifera ,paper birch,13.1,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,STUMP,N,BEPA,Betula papyrifera ,paper birch,17.9,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,LOG,N,BEPA,Betula papyrifera ,paper birch,10.6,0,170,0,1,0,3,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,LOG,N,BEPA,Betula papyrifera ,paper birch,10,0,320,0,2,0,4,0,
Little Rock Lake - South,LR,25,LRS,25413,4,A,3,LOG,N,BEPA,Betula papyrifera ,paper birch,11,0,510,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,STUMP,N,BEPA,Betula papyrifera ,paper birch,11,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,STUMP,N,BEPA,Betula papyrifera ,paper birch,12,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,STUMP,N,BEPA,Betula papyrifera ,paper birch,13,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,LOG,N,BEPA,Betula papyrifera ,paper birch,10,0,190,0,1,0,4,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,LOG,N,BEPA,Betula papyrifera ,paper birch,10,0,885,0,3,0,3,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,LOG,N,BEPA,Betula papyrifera ,paper birch,10.5,0,330,0,2,0,3,0,
Little Rock Lake - South,LR,25,LRS,25412,4,A,2,LOG,N,BEPA,Betula papyrifera ,paper birch,13,0,460,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,12,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,16.7,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,21,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,21.5,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,STUMP,N,CONIFER,,conifer,35,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,13,0,220,0,1,0,4,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,11,0,750,0,3,0,5,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,22,0,970,0,3,0,1,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,CONIFER,,conifer,31,0,1775,0,3,0,4,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,325,0,2,0,4,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,16,0,500,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25411,4,A,1,LOG,N,CONIFER,,conifer,23,0,300,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,14,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,14.8,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,STUMP,N,CONIFER,,conifer,16,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,LOG,,BEPA,Betula papyrifera ,paper birch,15,0,250,0,1,0,4,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,16,0,685,0,3,0,4,0,
Little Rock Lake - South,LR,25,LRS,25351,3,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,16,0,680,0,3,0,1,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,LOG,N,CONIFER,,conifer,23,0,1000,1,3,0,5,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,11.5,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,14.5,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,17.1,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,355,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,13,0,489,0,2,0,5,0,
Little Rock Lake - South,LR,25,LRS,25331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,18,0,420,0,2,0,3,0,
Little Rock Lake - South,LR,25,LRS,25311,3,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,19,0,645,0,3,1,3,0,
Little Rock Lake - South,LR,25,LRS,25311,3,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,19,0,300,0,2,0,4,0,
Little Rock Lake - South,LR,25,LRS,25311,3,A,1,LOG,,BEPA,Betula papyrifera ,paper birch,23,0,460,0,2,0,3,0,
Little Rock Lake - South,LR,25,LRS,25251,2,E,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,12,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25251,2,E,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,16.6,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25251,2,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,14,0,777,0,3,0,4,0,
Little Rock Lake - South,LR,25,LRS,25251,2,E,1,LOG,N,CONIFER,,conifer,28,0,960,0,3,0,5,0,
Little Rock Lake - South,LR,25,LRS,25251,2,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,355,0,2,0,3,0,
Little Rock Lake - South,LR,25,LRS,25231,2,C,1,LOG,N,CONIFER,,conifer,20,0,320,1,2,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - South,LR,25,LRS,25231,2,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,15,0,225,0,1,0,2,0,
Little Rock Lake - South,LR,25,LRS,25231,2,C,1,LOG,B,HARDWOOD,,hardwood,15,0,150,0,1,0,2,0,
Little Rock Lake - South,LR,25,LRS,25211,2,A,1,LOG,N,CONIFER,,conifer,22,0,1390,0,3,0,4,99,99=Misc note: PARALLEL TO SHORE
Little Rock Lake - South,LR,25,LRS,25211,2,A,1,SNAG,,ACRU,Acer rubrum,red maple,10.9,0,,0,,1,,0,
Little Rock Lake - South,LR,25,LRS,25211,2,A,1,STUMP,N,CONIFER,,conifer,16,0,,0,,0,,0,
Little Rock Lake - South,LR,25,LRS,25211,2,A,1,LOG,,BEPA,Betula papyrifera ,paper birch,14,0,220,0,1,0,5,0,
Little Rock Lake - South,LR,25,LRS,25211,2,A,1,LOG,N,ACRU,Acer rubrum,red maple,12.7,0,870,0,3,3,2,0,
Little Rock Lake - South,LR,25,LRS,25151,1,E,1,,,NO_LOGS,,no logs present,,0,,0,,,,1,1= No logs in transect: NO CWD >10cm dia
Little Rock Lake - South,LR,25,LRS,25111,1,A,1,LOG,,UNK,,unknown,12,0,470,0,2,0,5,0,
Little Rock Lake - North,LN,24,LRN,24851,8,E,1,LOG,,CONIFER,,conifer,26,0,,0,,0,3,99,99=Misc note: HALF BURIED
Little Rock Lake - North,LN,24,LRN,24811,8,A,1,,,NO_LOGS,,no logs present,,0,,0,,,,1,1= No logs in transect: NO CWD >10cm dia
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,26.5,0,610,1,3,1,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,STUMP,N,PIST,Pinus strobus ,white pine,11.6,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,19.2,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,26.5,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,SNAG,N,PIST,Pinus strobus ,white pine,28,0,,0,,0,,0,
