"wbic","county","lakePerimeter_m","lakeArea_m2","buildingCount50m","buildingCount100m","buildingCount200m","buildingDensity50m","buildingDensity100m","buildingDensity200m"
2914800,"Ashland",7079.81834837691,937038.674710162,7,31,40,NA,NA,NA
2732600,"Bayfield",61630.3257187072,11021884.3101088,366,700,850,NA,NA,NA
2734200,"Bayfield",6292.81663547985,604813.334538891,15,52,73,NA,NA,NA
2741700,"Bayfield",3930.76397963228,495607.801895408,8,19,26,NA,NA,NA
2742100,"Bayfield",17505.2817026533,3560195.55586328,143,340,436,NA,NA,NA
2742500,"Bayfield",4030.55804763829,769771.718925201,39,97,134,NA,NA,NA
2742700,"Bayfield",19463.1902830717,4145742.21147177,155,328,433,NA,NA,NA
2762100,"Bayfield",3937.97512161136,260412.249737107,0,0,0,NA,NA,NA
2767100,"Bayfield",10725.1980417024,1131587.71621654,138,239,263,NA,NA,NA
2882300,"Bayfield",6939.03237327596,1152564.60827015,57,132,142,NA,NA,NA
2897100,"Bayfield",7696.03087538626,1304593.47499183,64,120,143,NA,NA,NA
2900200,"Bayfield",41241.4180143005,5058281.88388731,203,357,453,NA,NA,NA
2902900,"Bayfield",5950.94909466176,661348.508013026,57,108,137,NA,NA,NA
2903100,"Bayfield",4704.30039595194,636019.976941033,67,102,137,NA,NA,NA
2903200,"Bayfield",6983.68674660924,1039530.3710196,93,162,191,NA,NA,NA
2903700,"Bayfield",6047.57837220479,739337.662146772,86,153,177,NA,NA,NA
2903800,"Bayfield",4055.56126109014,357255.467064647,45,119,168,NA,NA,NA
2904000,"Bayfield",1202.99343358117,78714.721769652,0,3,14,NA,NA,NA
2693700,"Douglas",6078.53764548437,1128434.21722579,7,78,114,NA,NA,NA
2694000,"Douglas",11850.8031238787,3433434.591983,32,136,184,NA,NA,NA
2741600,"Douglas",11418.3978628807,3174261.31711723,46,143,213,NA,NA,NA
2747300,"Douglas",16623.3232512916,3351950.60086074,206,442,589,NA,NA,NA
2856400,"Douglas",7858.57100970244,1499182.76657377,26,91,140,NA,NA,NA
2858100,"Douglas",9232.10558963666,1579205.51574031,176,287,396,NA,NA,NA
2865000,"Douglas",18662.4446677549,3988524.3364418,250,576,833,NA,NA,NA
2866200,"Douglas",11333.7315625689,1822052.331095,112,232,292,NA,NA,NA
2133200,"EauClaire",33606.7964110754,3521261.97080059,155,360,473,NA,NA,NA
2294900,"Iron",337150.944209177,52376648.7280249,275,597,715,NA,NA,NA
2295200,"Iron",25338.4555038754,3179509.56818818,21,40,44,NA,NA,NA
2303500,"Iron",18035.2004761991,1497893.80578953,125,237,277,NA,NA,NA
2306300,"Iron",12657.5934422922,1451557.55790614,132,214,223,NA,NA,NA
2942300,"Iron",44614.6226712807,10973053.9560526,26,52,100,NA,NA,NA
2949200,"Iron",9596.2713300217,1212501.55516832,131,253,309,NA,NA,NA
387200,"Langlade",3728.88057013689,340375.000480498,13,29,55,NA,NA,NA
1482400,"Lincoln",4490.04853179872,612899.416545067,0,0,0,NA,NA,NA
1506800,"Lincoln",49001.4353413426,4937015.15693618,0,0,0,NA,NA,NA
1515400,"Lincoln",42008.9492943966,6104029.05276999,0,0,0,NA,NA,NA
1516400,"Lincoln",33698.7491171491,3090403.36635034,0,0,0,NA,NA,NA
1516500,"Lincoln",62685.0232008957,9203717.24892086,0,0,0,NA,NA,NA
1516800,"Lincoln",19860.8970949821,1695174.30010488,0,0,0,NA,NA,NA
1519600,"Lincoln",4969.59963407537,605882.544624112,0,0,0,NA,NA,NA
971600,"Oneida",6065.32134244595,845287.453507153,33,64,76,NA,NA,NA
973000,"Oneida",4728.59621088679,465530.514284345,38,84,107,NA,NA,NA
977500,"Oneida",23624.6215833738,3534737.43294948,23,38,53,NA,NA,NA
1517200,"Oneida",6303.68975293076,955081.075684334,139,210,243,NA,NA,NA
1517900,"Oneida",13712.7372400209,1046654.51117782,47,143,187,NA,NA,NA
1523000,"Oneida",5497.43187197618,774838.590558418,94,177,205,NA,NA,NA
1523600,"Oneida",9803.85368283366,1629661.24049431,149,227,260,NA,NA,NA
1528300,"Oneida",161718.383350026,17115916.4914523,2,47,118,NA,NA,NA
1536300,"Oneida",22207.4414557262,5299293.95906515,257,483,610,NA,NA,NA
1537800,"Oneida",6263.45451974137,826157.491909122,30,142,194,NA,NA,NA
1539600,"Oneida",17392.1807227027,2832598.11276647,122,283,388,NA,NA,NA
1542300,"Oneida",21890.3198168227,2831875.44770914,205,411,508,NA,NA,NA
1542400,"Oneida",33756.1083066059,5420605.87969488,403,874,1200,NA,NA,NA
1542700,"Oneida",49800.54048615,14009344.4105893,287,592,793,NA,NA,NA
1543300,"Oneida",17127.9401733279,2121475.06245374,126,225,257,NA,NA,NA
1544700,"Oneida",6338.15677980297,694128.877812057,52,93,134,NA,NA,NA
1544800,"Oneida",8306.31954845182,1336783.23103618,2,5,17,NA,NA,NA
1564200,"Oneida",12128.417988607,2493015.42518099,229,453,549,NA,NA,NA
1569600,"Oneida",9779.28729856903,1791452.79875084,140,264,343,NA,NA,NA
1569900,"Oneida",11434.7716994166,1623666.07352288,84,220,291,NA,NA,NA
1572000,"Oneida",4311.52073897832,1023651.55944622,48,107,134,NA,NA,NA
1572300,"Oneida",2912.1568345967,415679.981114225,7,17,39,NA,NA,NA
1573800,"Oneida",6326.12802529127,1865045.19936938,57,145,220,NA,NA,NA
1579900,"Oneida",26207.3976288167,14345576.2041174,630,1160,1351,NA,NA,NA
1586600,"Oneida",4321.22140490735,498055.562140163,7,17,35,NA,NA,NA
1588200,"Oneida",14235.4644895388,2910074.58271512,155,311,357,NA,NA,NA
1589100,"Oneida",7491.66104658938,1243841.75899538,39,82,103,NA,NA,NA
1595300,"Oneida",62804.8762931695,12759987.2870567,71,118,171,NA,NA,NA
1595600,"Oneida",6870.88529125759,1160518.79064588,38,86,102,NA,NA,NA
1595800,"Oneida",11368.0910270836,1900149.39652445,40,79,103,NA,NA,NA
1596900,"Oneida",11657.7736614245,2962663.33440077,79,220,292,NA,NA,NA
1597000,"Oneida",8051.57964501115,2215273.48958454,56,135,178,NA,NA,NA
1597600,"Oneida",4967.27610084969,721650.058329038,6,23,23,NA,NA,NA
1598000,"Oneida",4506.14433963274,813109.010768645,91,147,187,NA,NA,NA
1603800,"Oneida",19850.0839615184,3740715.65173289,42,130,157,NA,NA,NA
1605800,"Oneida",10016.435159767,2097075.79856127,20,79,123,NA,NA,NA
1609000,"Oneida",15713.0626497199,2445409.75501163,168,290,337,NA,NA,NA
1609100,"Oneida",18676.5483661161,4089328.94190349,183,395,484,NA,NA,NA
1609600,"Oneida",3667.1999154761,575743.516236939,47,113,145,NA,NA,NA
1610300,"Oneida",3192.09909189256,520518.063867113,37,90,131,NA,NA,NA
1610400,"Oneida",3878.52513259404,612071.263872751,42,79,102,NA,NA,NA
1610500,"Oneida",8169.10672584201,1232353.05778367,110,179,202,NA,NA,NA
1610600,"Oneida",7323.53040429133,1361463.24579814,61,129,180,NA,NA,NA
1610700,"Oneida",9242.07621187152,2682088.83121055,106,187,227,NA,NA,NA
1610800,"Oneida",6634.33398244551,848203.316234881,27,40,45,NA,NA,NA
1611700,"Oneida",7315.42578703419,1602017.65006409,83,162,210,NA,NA,NA
1611800,"Oneida",10533.8898952268,1006258.3464198,85,144,189,NA,NA,NA
1612200,"Oneida",11203.259451407,2455566.39398295,137,284,400,NA,NA,NA
1612300,"Oneida",9554.76431000623,761590.774336379,39,149,214,NA,NA,NA
1612900,"Oneida",5973.6629109253,816283.561920853,49,117,148,NA,NA,NA
