wbic,county,lakePerimeter_m,lakeArea_m2,buildingCount50m,buildingCount100m,buildingCount200m,buildingDensity50m,buildingDensity100m,buildingDensity200m,surveyYear
2914800,Ashland,7079.818348,937038.6747,7,31,40,0.988725933,4.378643416,5.649862473,2018
2732600,Bayfield,61630.32572,11021884.31,366,700,850,5.938634848,11.35804479,13.79191153,2018
2734200,Bayfield,6292.816635,604813.3345,15,52,73,2.383670281,8.263390309,11.6005287,2018
2741700,Bayfield,3930.76398,495607.8019,8,19,26,2.035227768,4.833665949,6.614490245,2018
2742100,Bayfield,17505.2817,3560195.556,143,340,436,8.168963084,19.42270943,24.90676856,2018
2742500,Bayfield,4030.558048,769771.7189,39,97,134,9.676079476,24.06614639,33.24601666,2018
2742700,Bayfield,19463.19028,4145742.211,155,328,433,7.963750945,16.85232458,22.24712361,2018
2762100,Bayfield,3937.975122,260412.2497,0,0,0,0,0,0,2018
2767100,Bayfield,10725.19804,1131587.716,138,239,263,12.86689527,22.2839708,24.52169172,2018
2882300,Bayfield,6939.032373,1152564.608,57,132,142,8.214401798,19.02282522,20.46394834,2018
2897100,Bayfield,7696.030875,1304593.475,64,120,143,8.315974953,15.59245304,18.58100654,2018
2900200,Bayfield,41241.41801,5058281.884,203,357,453,4.922236183,8.656346391,10.9841034,2018
2902900,Bayfield,5950.949095,661348.508,57,108,137,9.578304081,18.14836563,23.02153788,2018
2903100,Bayfield,4704.300396,636019.9769,67,102,137,14.24228777,21.68228885,29.12228992,2018
2903200,Bayfield,6983.686747,1039530.371,93,162,191,13.3167485,23.19691674,27.34945122,2018
2903700,Bayfield,6047.578372,739337.6621,86,153,177,14.22056809,25.29938276,29.26791339,2018
2903800,Bayfield,4055.561261,357255.4671,45,119,168,11.0958748,29.34242447,41.42459926,2018
2904000,Bayfield,1202.993434,78714.72177,0,3,14,0,2.493779198,11.63763626,2018
2693700,Douglas,6078.537645,1128434.217,7,78,114,1.151592769,12.83203371,18.75451081,2009
2694000,Douglas,11850.80312,3433434.592,32,136,184,2.700238934,11.47601547,15.52637387,2009
2741600,Douglas,11418.39786,3174261.317,46,143,213,4.028586195,12.52364839,18.65410564,2009
2747300,Douglas,16623.32325,3351950.601,206,442,589,12.39222729,26.58914787,35.43214501,2009
2856400,Douglas,7858.57101,1499182.767,26,91,140,3.308489542,11.5797134,17.81494369,2009
2858100,Douglas,9232.10559,1579205.516,176,287,396,19.06390674,31.08716611,42.89379017,2009
2865000,Douglas,18662.44467,3988524.336,250,576,833,13.395887,30.86412366,44.6350955,2009
2866200,Douglas,11333.73156,1822052.331,112,232,292,9.882005709,20.46986897,25.7638006,2009
2133200,EauClaire,33606.79641,3521261.971,155,360,473,4.612162317,10.71211893,14.07453404,2013
2294900,Iron,337150.9442,52376648.73,275,597,715,0.815658401,1.770720237,2.120711842,2015
2295200,Iron,25338.4555,3179509.568,21,40,44,0.828779797,1.578628184,1.736491003,2015
2303500,Iron,18035.20048,1497893.806,125,237,277,6.93089052,13.14096843,15.35885339,2015
2306300,Iron,12657.59344,1451557.558,132,214,223,10.42852266,16.90684734,17.61788297,2015
2942300,Iron,44614.62267,10973053.96,26,52,100,0.582768573,1.165537146,2.241417589,2015
2949200,Iron,9596.27133,1212501.555,131,253,309,13.65113548,26.36440668,32.20000658,2015
387200,Langlade,3728.88057,340375.0005,13,29,55,3.486300984,7.777132964,14.74973493,2017
1482400,Lincoln,4490.048532,612899.4165,0,0,0,0,0,0,2016
1506800,Lincoln,49001.43534,4937015.157,0,0,0,0,0,0,2016
1515400,Lincoln,42008.94929,6104029.053,0,0,0,0,0,0,2016
1516400,Lincoln,33698.74912,3090403.366,0,0,0,0,0,0,2016
1516500,Lincoln,62685.0232,9203717.249,0,0,0,0,0,0,2016
1516800,Lincoln,19860.89709,1695174.3,0,0,0,0,0,0,2016
1519600,Lincoln,4969.599634,605882.5446,0,0,0,0,0,0,2016
971600,Oneida,6065.321342,845287.4535,33,64,76,5.440766966,10.55179048,12.5302512,2010
973000,Oneida,4728.596211,465530.5143,38,84,107,8.036211659,17.76425735,22.6282802,2010
977500,Oneida,23624.62158,3534737.433,23,38,53,0.973560568,1.608491373,2.243422178,2010
1517200,Oneida,6303.689753,955081.0757,139,210,243,22.05057759,33.31382226,38.54885147,2010
1517900,Oneida,13712.73724,1046654.511,47,143,187,3.427470328,10.42826078,13.63695641,2010
1523000,Oneida,5497.431872,774838.5906,94,177,205,17.09889312,32.19685193,37.29013925,2010
1523600,Oneida,9803.853683,1629661.24,149,227,260,15.19810524,23.15416033,26.52018364,2010
1528300,Oneida,161718.3834,17115916.49,2,47,118,0.012367178,0.290628678,0.72966349,2010
1536300,Oneida,22207.44146,5299293.959,257,483,610,11.5726974,21.74946632,27.46827009,2010
1537800,Oneida,6263.45452,826157.4919,30,142,194,4.789689125,22.67119519,30.97332301,2010
1539600,Oneida,17392.18072,2832598.113,122,283,388,7.014646521,16.27168004,22.30887582,2010
1542300,Oneida,21890.31982,2831875.448,205,411,508,9.36487003,18.77542235,23.20660476,2010
