,wbic,county
1,2914800,ASHLAND
2,1881100,BARRON
3,2079700,BARRON
4,2081200,BARRON
5,2089500,BARRON
6,2094000,BARRON
7,2094100,BARRON
8,2094300,BARRON
9,2094600,BARRON
10,2105100,BARRON
11,2109600,BARRON
12,2109800,BARRON
13,2469800,BARRON
14,2661100,BARRON
15,2732600,BAYFIELD
16,2734200,BAYFIELD
17,2741700,BAYFIELD
18,2742100,BAYFIELD
19,2742500,BAYFIELD
20,2742700,BAYFIELD
21,2762100,BAYFIELD
22,2767100,BAYFIELD
23,2882300,BAYFIELD
24,2897100,BAYFIELD
25,2900200,BAYFIELD
26,2902900,BAYFIELD
27,2903100,BAYFIELD
28,2903200,BAYFIELD
29,2903700,BAYFIELD
30,2903800,BAYFIELD
31,2904000,BAYFIELD
32,2461100,BURNETT
33,2495100,BURNETT
34,2654500,BURNETT
35,2656200,BURNETT
36,2674800,BURNETT
37,2675200,BURNETT
38,2676800,BURNETT
39,2678100,BURNETT
40,2706500,BURNETT
41,2706800,BURNETT
42,2152800,CHIPPEWA
43,2157000,CHIPPEWA
44,2351400,CHIPPEWA
45,2693700,DOUGLAS
46,2694000,DOUGLAS
47,2741600,DOUGLAS
48,2747300,DOUGLAS
49,2856400,DOUGLAS
50,2858100,DOUGLAS
51,2865000,DOUGLAS
52,2866200,DOUGLAS
53,2133200,EAU CLAIRE
54,653700,FLORENCE
55,677100,FLORENCE
56,701900,FLORENCE
57,378400,FOREST
58,394400,FOREST
59,396500,FOREST
60,683000,FOREST
61,692400,FOREST
62,692900,FOREST
63,2294900,IRON
64,2295200,IRON
65,2303500,IRON
66,2306300,IRON
67,2942300,IRON
68,2949200,IRON
69,387200,LANGLADE
70,1482400,LINCOLN
71,1506800,LINCOLN
72,1515400,LINCOLN
73,1516400,LINCOLN
74,1516500,LINCOLN
75,1516800,LINCOLN
76,1519600,LINCOLN
77,1427400,MARATHON
78,609000,MARINETTE
79,610700,MARINETTE
80,634300,MARINETTE
81,634500,MARINETTE
82,417400,OCONTO
83,417900,OCONTO
84,418700,OCONTO
85,439800,OCONTO
86,487500,OCONTO
87,971600,ONEIDA
88,973000,ONEIDA
89,977500,ONEIDA
90,1517200,ONEIDA
91,1517900,ONEIDA
92,1523000,ONEIDA
93,1523600,ONEIDA
94,1528300,ONEIDA
95,1536300,ONEIDA
96,1537800,ONEIDA
97,1539600,ONEIDA
98,1542300,ONEIDA
99,1542400,ONEIDA
100,1542700,ONEIDA
101,1543300,ONEIDA
102,1544700,ONEIDA
103,1544800,ONEIDA
104,1564200,ONEIDA
105,1569600,ONEIDA
106,1569900,ONEIDA
107,1572000,ONEIDA
108,1572300,ONEIDA
109,1573800,ONEIDA
110,1579900,ONEIDA
111,1586600,ONEIDA
112,1588200,ONEIDA
113,1589100,ONEIDA
114,1595300,ONEIDA
115,1595600,ONEIDA
116,1595800,ONEIDA
117,1596900,ONEIDA
118,1597000,ONEIDA
119,1597600,ONEIDA
120,1598000,ONEIDA
121,1603800,ONEIDA
122,1605800,ONEIDA
123,1609000,ONEIDA
124,1609100,ONEIDA
125,1609600,ONEIDA
126,1610300,ONEIDA
127,1610400,ONEIDA
128,1610500,ONEIDA
129,1610600,ONEIDA
130,1610700,ONEIDA
131,1610800,ONEIDA
132,1611700,ONEIDA
133,1611800,ONEIDA
134,1612200,ONEIDA
135,1612300,ONEIDA
136,1612900,ONEIDA
137,1613000,ONEIDA
138,1618100,ONEIDA
