wbic,year,adults.acre
194000,2000,1.409090909
198100,2010,2.57
198100,2008,3.46
198100,2003,6.1
365500,2000,0.397590361
376900,2002,5.8
376900,1993,5.8
376900,2006,8.1
376900,2009,10.43
377900,2010,6.37
377900,1999,8.8
377900,2007,10.46
377900,2004,13.6
377900,2002,15.5
378400,2002,2.6
378400,1996,4.3
378400,2010,4.42
378400,1993,5.5
387200,2009,4.13
387200,2005,6.2
394400,2004,0.6
394400,2004,0.6
394400,2007,0.84
394400,2011,1.29
394400,2009,1.29
394400,2001,1.8
394400,2010,2.01
394400,1999,2.4
394400,1992,2.504771472
394400,1997,3.7
396500,2011,0.64
396500,2006,0.9
396500,1992,1.374269006
396500,2001,1.9
397100,1998,0.2
399200,2008,1.1
399200,1998,1.9
406900,1991,0.764670659
406900,2003,0.8
417400,1993,0.4
417400,2011,1.17
418700,1996,2.3
439800,2008,NA
439800,1993,NA
439800,1997,NA
439800,1994,NA
470600,2009,0.47
478200,1998,2.2
479300,1998,0.8
487500,1993,1.1
487500,1999,1.7
491800,1993,0.193370166
494200,2008,3.68
494200,2004,7.2
651600,2002,2.979057592
653700,2011,0.98
653700,2004,2.3
653700,1998,2.6
653700,2000,3.760784314
653700,1993,6.988235294
672900,1997,1
672900,2000,1.8
677100,1998,0.5
677100,2007,0.8
679300,1995,0.4
683000,2007,3.7
683000,1999,3.7
683000,2002,5.6
692400,2006,0.8
692400,2005,0.9
692400,2008,0.92
692400,2003,1.257739938
692400,2004,1.318111455
692400,2004,1.318111455
692400,2002,1.63003096
692400,2002,1.63003096
692400,2002,1.63003096
692400,1991,1.651702786
692400,2001,1.911764706
692400,1996,2.643962848
692400,1995,2.820433437
692400,2000,3.08126935
692400,1999,3.401702786
692400,1990,3.7
692400,1994,3.71749226
692400,1998,3.976780186
692400,1998,3.976780186
692400,1998,3.976780186
692400,2011,4.36
692400,1993,4.641640867
692400,1997,5.050309598
692400,1997,5.050309598
692400,1997,5.050309598
692400,1992,5.202012384
692400,2010,5.38
692400,2009,6.6
692900,2004,0.5
692900,2004,0.5
692900,2002,0.6
692900,1997,2.1
692900,1994,2.4
692900,1991,3.44955157
716800,2000,0.599791014
716800,1996,0.654127482
716800,1998,0.76384535
716800,1995,0.948798328
716800,1997,1.054336468
716800,2011,1.615464995
716800,1999,1.900731452
716800,1999,1.900731452
716800,1993,2.4
716800,2002,2.652037618
716800,2010,3.424242424
716800,1991,3.469174504
716800,1994,3.690700104
716800,1992,4.198537095
716800,2001,5.437826541
716800,2007,7.857889237
716800,1990,8.2
716800,2005,9.978056426
716800,2003,10.9446186
716800,2009,12.65935214
716800,2006,13.05015674
716800,2004,13.47857889
716800,2008,13.83176594
968800,2006,5
968800,2007,5.46
968800,1991,11.71842105
969600,2007,0.63
971600,1999,2.3
973000,2003,3.5
975000,2000,0.2
977500,1990,2.3
977500,2005,2.5
977500,2005,2.5
977500,1996,3.7
977500,2000,3.8
979100,2004,0.6
983600,2009,2.5
995000,1994,1.3
995200,2005,2.2
995200,2005,2.2
995200,2005,2.2
995200,2005,2.2
995200,2005,2.2
995200,1998,4
995200,1995,5.893155259
995200,1994,6.2
1001000,2007,0.63
1001300,1999,1.8
1004600,2005,0.8
1005600,2005,0.8
1012100,2001,2.4
1013800,1999,6.5
1018500,1995,1.6
1018500,2009,2.62
1018500,2000,4.8
1018500,2006,5.1
1018500,2003,5.6
1019500,2009,2.04
1019500,1991,5.109693878
1406300,2002,1.443902439
1406300,1994,2
1427400,1993,1.869692533
1427400,2003,6.397510981
1445500,1999,0.4
1445600,2002,0.2
1469100,2003,2
1469100,1998,6.7
1481600,2003,1
1482400,2007,5.31
1490300,2006,1.6
1490300,1996,4.3
1490300,2001,7.1
1494600,2000,1.128508124
1494600,2011,1.36
1506800,2005,2.9
1515400,1995,2.7
1515400,2009,4.75
1516400,1991,0.881521739
1516500,2001,3.96999589
1516500,1991,4.412248253
1516800,1991,3.630170316
1517200,2002,1.3
1517200,2000,3.5
1517900,2002,1.2
1519600,2001,0.585526316
1522400,2001,0.023648649
1523000,2001,2.7
1523600,2003,6.6
1523600,1990,6.7
1523600,2002,7.5
1523600,2000,7.7
1523600,1996,7.9
1523600,1998,9
1523600,2006,9.5
1523600,2010,10.1
1523600,2008,10.87
1523600,2004,18.7
1528300,1994,2.6
1528300,2008,4.2
1528700,2007,7.63
1536300,2004,3.7
1536300,2010,3.88
1536300,2005,4
1536300,2003,4
1536300,2008,4.09
1536300,2000,4.2
1536300,2011,4.35
1536300,1993,4.7
1536300,2009,4.79
1536300,1990,4.8
1536300,2006,5.3
1536300,1999,5.4
1536300,1998,5.4
1536300,1991,5.53682612
1536300,1992,5.69476082
1536300,1994,5.7
1536300,2001,5.8
1536300,2002,6
1536300,1995,6.344722855
1536300,1997,6.4
1536300,1996,6.5
1536300,2007,7.02
1537800,1997,1.1
1537800,1994,2.3
1539600,1993,0.1
1539600,1991,0.50698324
1539600,2002,0.976256983
1539700,1993,0.1
1539700,2002,1.512
1540400,2002,0.8
1542300,1992,3.394029851
1542300,1990,4.437313433
1542300,1991,5.21641791
1542400,2009,2.03
1542400,1998,4.6
1542400,1992,5.616176471
1542600,1992,0.888372093
1542700,2009,1.22
1542700,2000,1.4
1542700,2004,2.2
1542700,1992,2.410082547
1542700,2002,2.441332547
1542700,1998,2.5
1543300,1991,1.5
1543300,1993,4
1543300,2001,6.4
1543300,2008,9.84
1543900,1992,2.4125
1544700,2000,0.27672956
1544700,2005,0.3
1544700,1990,0.6
1544800,2005,0.8
1544800,2000,2.7
1544800,1990,3
1545300,1990,4.5
1545300,1999,5.1
1545300,1996,7.5
1545300,2007,8.16
1545600,1998,4.9
1545600,1996,5.3
1545600,2008,5.8
1545600,2005,6.3
1545600,2001,7.4
1545600,2011,7.81
1545600,1993,9.049541284
1547700,1999,1
1547700,2006,1.8
1555500,2004,0.6
1555900,2003,2.1
1564200,2006,3.7
1564200,1992,3.937908497
1564200,2000,4.3
1564200,2010,5.63
1564400,2003,1.3
1569600,1995,2.6
1569600,1999,4.6
1569600,2007,4.87
1569600,2010,4.89
1569900,2005,1.1
1569900,1995,1.183246073
1569900,1999,1.4
1571100,2007,13.14
1572000,2007,4.49
1573800,2007,1.79
1575700,2002,0.3
1579700,2005,0.8
1579700,2011,1.71
1579700,2001,4
1579700,1991,4.986138614
1579900,1995,1.2
1579900,1996,2.1
1579900,2011,2.4
1579900,2007,2.8
1579900,2001,2.8
1579900,1998,2.9
1579900,1990,3.1
1588200,2011,1.383866481
1588200,1998,1.9
1588200,2008,2.7
1588200,2005,2.8
1588200,1992,3.184397163
1588200,2002,3.8
1589100,2001,3.8
1589300,1994,1.2
1589300,2009,1.56
1589600,1998,4
1590400,1992,0.127717391
1590400,2008,0.4
1591100,2009,2.08
1591100,1992,2.153370439
1591100,1998,2.6
1591100,1994,2.8
1591100,2011,2.99
1591100,1993,3.1
1591100,2006,5.1
1592400,1990,1.9
1592400,2000,3.8
1592400,1995,3.837366893
1592400,2006,4.3
1592400,2009,4.81
1592400,2003,5.5
1592400,2003,5.5
1593100,1996,3.4
1593100,2005,3.6
1593100,2011,3.83
1593100,1997,4.5
1593100,1993,6.587064677
1593400,1998,0.9
1593400,2011,0.91
1593800,1998,0.9
1595300,1998,4
1595300,1990,4.3
1595600,2009,1.32
1595600,2011,1.48
1595600,1994,3.5
1595800,1998,2.6
1595800,2006,3
1596300,1992,0.666326531
1596300,1997,2.3
1596900,2005,2.9
1596900,1997,3.4
1596900,1990,3.5
1597000,1997,2.2
1597000,1990,3.338888889
1597000,2005,3.8
1597600,1997,0.3
1597600,1990,1.3
1598000,1997,1.4
1598000,1990,4.8
1598900,2004,1.4
1598900,1992,1.465994962
1598900,1991,2.229219144
1599600,1993,6.326732673
1599600,1995,9.5
1599900,1993,0.268518519
1599900,2000,2.7
1600000,2000,2.7
1600100,1993,0.933673469
1600100,2000,2.7
1600200,1993,3.949300699
1600200,2000,5
1600300,2000,0.1
