wbic,Panfish,Catfish,Largemouth.Bass,Musky,Northern.Pike,Rainbow.Smelt,Smallmouth.Bass,Sturgeon,Trout,Walleye,Cisco
88,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,0,0,0,0,0
5700,0,0,0,0,0,0,0,0,0,0,0
5900,0,0,0,0,0,0,0,0,0,0,0
6100,0,0,0,0,0,0,0,0,0,0,0
7100,0,0,0,0,0,0,0,0,0,0,0
7300,0,0,0,0,0,0,0,0,0,0,0
7500,0,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,0,0,0,0,0,0,0
7900,0,0,0,0,0,0,0,0,0,0,0
8000,0,0,0,0,0,0,0,0,0,0,0
8100,0,0,0,0,0,0,0,0,0,0,0
8200,0,0,0,0,0,0,0,0,0,0,0
8300,0,0,0,0,0,0,0,0,0,0,0
8400,0,0,0,0,0,0,0,0,0,0,0
8500,0,0,0,0,0,0,0,0,0,0,0
8900,0,0,0,0,0,0,0,0,0,0,0
9100,0,0,0,0,0,0,0,0,0,0,0
9200,0,0,0,0,0,0,0,0,0,0,0
9300,0,0,0,0,0,0,0,0,0,0,0
9500,0,0,0,0,0,0,0,0,0,0,0
9600,0,0,0,0,0,0,0,0,0,0,0
9700,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,0,0
10200,0,0,0,0,0,0,0,0,0,0,0
10300,0,0,0,0,0,0,0,0,0,0,0
10400,0,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0,0
10600,0,0,0,0,0,0,0,0,0,0,0
11000,0,0,0,0,0,0,0,0,0,0,0
11300,0,0,0,0,0,0,0,0,0,0,0
11400,0,0,0,0,0,0,0,0,0,0,0
11600,0,0,0,0,0,0,0,0,0,0,0
11800,0,0,0,0,0,0,0,0,0,0,0
11900,0,0,0,0,0,0,0,0,0,0,0
12000,0,0,0,0,0,0,0,0,0,0,0
12025,0,0,0,0,0,0,0,0,0,0,0
12100,0,0,0,0,0,0,0,0,0,0,0
12370,0,0,0,0,0,0,0,0,0,0,0
12400,0,0,0,0,0,0,0,0,0,0,0
12500,0,0,0,0,0,0,0,0,0,0,0
12600,0,0,0,0,0,0,0,0,0,0,0
12800,0,0,0,0,0,0,0,0,0,0,0
13000,0,0,0,0,0,0,0,0,0,0,0
13500,0,0,0,0,0,0,0,0,0,0,0
13600,0,0,0,0,0,0,0,0,0,0,0
13900,0,0,0,0,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0,0,0,0,0
14700,0,0,0,0,0,0,0,0,0,0,0
15500,0,0,0,0,0,0,0,0,0,0,0
15800,0,0,0,0,0,0,0,0,0,0,0
16600,0,0,0,0,0,0,0,0,0,0,0
19900,0,0,0,0,0,0,0,0,0,0,0
20300,0,0,0,0,0,0,0,0,0,0,0
21700,0,0,0,0,0,0,0,0,0,0,0
22100,0,0,0,0,0,0,0,0,0,0,0
22200,0,0,0,0,0,0,0,0,0,0,0
22300,0,0,0,0,0,0,0,0,0,0,0
22800,0,0,0,0,0,0,0,0,0,0,0
23700,0,0,0,0,0,0,0,0,0,0,0
24000,0,0,0,0,0,0,0,0,0,0,0
24100,0,0,0,0,0,0,0,0,0,0,0
24300,0,0,0,0,0,0,0,0,0,0,0
24500,0,0,0,0,0,0,0,0,0,0,0
24700,0,0,0,0,0,0,0,0,0,0,0
24900,0,0,0,0,0,0,0,0,0,0,0
25100,0,0,0,0,0,0,0,0,0,0,0
25300,0,0,0,0,0,0,0,0,0,0,0
25600,0,0,0,0,0,0,0,0,0,0,0
26400,0,0,0,0,0,0,0,0,0,0,0
26700,0,0,0,0,0,0,0,0,0,0,0
26750,0,0,0,0,0,0,0,0,0,0,0
26900,0,0,0,0,0,0,0,0,0,0,0
27500,0,0,0,0,0,0,0,0,0,0,0
27900,0,0,0,0,0,0,0,0,0,0,0
28100,0,0,0,0,0,0,0,0,0,0,0
28300,0,0,0,0,0,0,0,0,0,0,0
28600,0,0,0,0,0,0,0,0,0,0,0
29000,0,0,0,0,0,0,0,0,0,0,0
29300,0,0,0,0,0,0,0,0,0,0,0
29400,0,0,0,0,0,0,0,0,0,0,0
29700,0,0,0,0,0,0,0,0,0,0,0
30300,0,0,0,0,0,0,0,0,0,0,0
30500,0,0,0,0,0,0,0,0,0,0,0
31900,0,0,0,0,0,0,0,0,0,0,0
32500,0,0,0,0,0,0,0,0,0,0,0
32700,0,0,0,0,0,0,0,0,0,0,0
32800,0,0,0,0,0,0,0,0,0,0,0
34100,0,0,0,0,0,0,0,0,0,0,0
34300,0,0,0,0,0,0,0,0,0,0,0
34500,0,0,0,0,0,0,0,0,0,0,0
34600,0,0,0,0,0,0,0,0,0,0,0
34700,0,0,0,0,0,0,0,0,0,0,0
35000,0,0,0,0,0,0,0,0,0,0,0
35400,0,0,0,0,0,0,0,0,0,0,0
35750,0,0,0,0,0,0,0,0,0,0,0
35900,0,0,0,0,0,0,0,0,0,0,0
36000,0,0,0,0,0,0,0,0,0,0,0
36200,0,0,0,0,0,0,0,0,0,0,0
