wbic,Landlock,publicaccess,accessscore,mroad_dist,Road_dist
88,0,0,0,0,0
92,0,0,0,435.909358,0
100,1,0,0,169.452665,5.252801
200,1,0,0,232.460633,16.597716
300,1,0,0,436.053808,29.049121
350,1,0,0,81.464565,88.29733
400,1,0,0,47.473413,26.83999
1800,0,0,0,146.603974,78.656706
5200,0,0,0,69.604747,69.327282
5500,0,0,0,316.190035,95.864349
5700,1,0,0,239.163092,241.579925
5900,0,0,0,73.139073,71.947377
6100,0,0,0,49.043129,38.718927
7100,0,0,0,186.762719,47.951656
7300,0,0,0,207.33314,119.275059
7500,0,0,0,98.927738,90.6967
7600,0,0,0,42.912644,33.488099
7900,1,0,0,129.419834,78.482138
8000,1,1,3,19.644497,18.045744
8100,1,0,0,396.340244,16.545342
8200,1,0,0,550.353381,201.45832
8300,1,0,0,2651.448288,97.3713
8400,1,0,0,3026.355577,68.219604
8500,1,0,0,107.414318,84.920697
8900,1,1,3,2047.963952,13.512342
9100,1,0,0,161.32668,160.670352
9200,1,0,0,778.525317,139.066674
9300,1,0,0,1910.38264,84.267884
9500,1,0,0,401.214308,135.023933
9600,1,0,0,3008.680263,59.806234
9700,1,0,0,162.24592,16.568015
10000,1,0,0,29.728845,33.184114
10100,1,0,0,77.979906,87.34183
10200,1,0,0,2632.84807,137.772261
10300,1,0,0,38.611444,18.834281
10400,1,0,0,873.857807,50.245956
10500,1,0,0,233.766681,44.949605
10600,1,0,0,1435.674336,24.330175
11000,1,0,0,89.174932,99.095522
11300,1,0,0,1285.359098,87.440566
11400,0,0,0,1073.40678,27.579545
11600,1,0,0,251.840491,250.64133
11800,1,0,0,853.812688,343.98798
11900,1,0,0,2884.779482,86.173827
12000,1,0,0,1689.04199,181.803257
12025,1,0,0,218.69179,15.171165
12100,1,0,0,316.994361,20.372927
12370,0,0,0,1954.733862,5.700859
12400,1,0,0,814.330487,168.552044
12500,1,0,0,671.48166,41.854253
12600,1,0,0,446.84896,178.152053
12800,0,0,0,892.050338,150.84448
13000,1,0,0,116.617743,115.463478
13500,1,0,0,1556.643434,66.853654
13600,1,0,0,320.186238,319.575387
13900,1,0,0,537.573685,536.575449
14400,1,0,0,66.600499,62.146309
14700,0,0,0,182.164868,4.058743
15500,1,0,0,91.364221,48.266399
15800,1,0,0,173.82622,23.150163
16600,0,0,0,225.831232,60.950712
19900,0,0,0,234.986938,30.727278
