wbic,Area,Length,MaxDepth,MeanDepth
88,20010645.95,47158.33991,NA,NA
92,4322657.583,15090.85243,NA,NA
100,69004.14386,2192.821127,NA,NA
200,25226.59873,1332.368479,1.8,1.2
300,13048.03522,409.475672,10.8,NA
350,10086.7228,380.963854,NA,NA
400,71657.91117,1128.755652,19.2,NA
1800,29324.73136,1532.991712,1.5,NA
5200,115017.4492,1652.360086,NA,NA
5500,14966.6546,546.540568,NA,NA
5700,27928.83088,788.112964,NA,NA
5900,57313.84364,1163.478265,NA,NA
6100,22092.34002,591.236672,5.7,1.8
7100,51328.65915,976.138625,2.7,NA
7300,66622.3546,2041.153874,3,1.8
7500,51247.01212,873.523416,9,NA
7600,14774.6907,670.754318,NA,NA
7900,30153.80158,752.647474,NA,NA
8000,87955.55459,1454.188419,6,NA
8100,126490.4054,1934.396018,NA,NA
8200,16804.13994,715.524402,NA,NA
8300,53584.12327,890.063585,1.8,0.6
8400,36760.8151,750.215892,3,1.8
8500,21974.49057,640.206574,NA,NA
8900,204752.758,2169.724124,9.6,3.3
9100,17055.54095,1538.343466,NA,NA
9200,33996.56637,1128.408457,NA,NA
9300,22320.37912,1024.876511,NA,NA
9500,67340.07903,1544.363942,9,NA
9600,83266.81968,2202.566863,2.1,NA
9700,14173.55049,797.12137,NA,NA
10000,10240.37267,433.485015,NA,NA
10100,13003.21112,807.831467,NA,NA
10200,81535.26337,1098.107469,1.5,NA
10300,17552.29086,1484.877373,NA,NA
10400,19377.43501,602.184042,NA,NA
10500,11619.34656,477.582404,1.8,1.5
10600,11263.8829,460.995073,NA,NA
11000,12913.81278,666.169903,NA,NA
11300,14698.0897,493.644403,NA,NA
11400,15013.06032,486.494712,NA,NA
11600,29786.78633,740.518526,2.4,1.8
11800,25628.2568,579.050123,NA,NA
11900,42449.16582,783.974795,0.6,0.6
12000,123208.0912,1283.891849,1.2,0.9
12025,118657.6668,1689.787267,NA,NA
12100,25727.28843,912.58797,NA,NA
12370,10303.47643,426.869056,NA,NA
12400,16791.00842,509.033044,NA,NA
12500,51754.04336,1067.776687,1.5,NA
12600,50879.68115,963.139264,3.9,NA
12800,17568.34557,629.466355,NA,NA
13000,25810.65937,704.996031,NA,NA
13500,139436.5403,1684.126099,NA,NA
13600,10871.93529,384.110925,NA,NA
13900,12864.57954,483.20465,NA,NA
14400,39889.02955,1761.480728,1.5,0.9
14700,16259.46558,697.759686,NA,NA
15500,32613.96583,1320.88973,NA,NA
15800,29800.35147,1181.022391,NA,NA
16600,15793.61446,588.220533,NA,NA
19900,20829.62639,1247.335316,NA,NA
20300,225204.1607,2904.905858,3.9,NA
21700,51617.38378,2309.214108,2.7,NA
22100,598968.9782,10286.50108,1.2,0.9
22200,157929.1422,2765.983105,1.5,NA
22300,13748.23727,675.36403,NA,NA
22800,13464.9723,469.797118,NA,NA
23700,11301.97275,457.886981,NA,NA
24000,51895.33674,874.969727,10.2,5.1
24100,48481.80373,898.476242,14.4,7.2
24300,10293.93944,578.33952,NA,NA
24500,16095.87227,494.543547,NA,NA
24700,33392.33996,935.419969,NA,NA
24900,17674.35505,799.020057,NA,NA
25100,1052884.855,7953.745584,16.8,3.9
25300,3791876.698,18411.56219,31.5,10.2
25600,174629.7813,3059.192952,9,0.9
26400,17974.42144,571.474588,NA,NA
26700,19931.01082,755.308314,NA,NA
26750,43669.9114,1240.077825,NA,NA
26900,22145.99107,550.494678,NA,NA
27500,142865.6841,1499.474911,10.2,4.2
27900,62964.27367,1428.780085,4.5,1.5
28100,281915.9278,2863.076901,11.1,5.1
28300,219356.0191,2399.214702,10.5,3.3
28600,60846.51232,964.329909,11.4,5.7
29000,34708.15974,740.24088,NA,NA
29300,68185.07492,1209.718754,5.4,2.1
29400,18584.58833,502.704756,NA,NA
29700,181418.9365,1833.43411,6,1.8
30300,856892.6308,5673.039113,6.3,1.8
30500,243604.3032,2524.002282,6.6,2.1
31900,14387.20933,534.431265,2.1,NA
32500,453018.8083,3033.368139,12.6,4.8
32700,10315.11522,375.888939,NA,NA
32800,23715.37031,993.711905,NA,NA
34100,53781.93955,877.988099,2.4,NA
34300,40066.22936,1016.731442,NA,NA
34500,24434.3397,671.276907,NA,NA
34600,28197.77733,823.191439,NA,NA
34700,37419.27996,720.997025,4.2,2.1
35000,27109.5031,826.331161,NA,NA
35400,255096.7228,5379.729492,1.5,0.9
35750,26034.41186,1153.763024,NA,NA
35900,280582.4446,3748.037193,4.5,1.8
36000,35223.39756,769.284187,NA,NA
36200,495397.3672,4508.330186,14.1,6
36700,344612.1573,2815.060288,1.5,0.9
36800,34404.2131,934.00714,NA,NA
37800,103384.1709,1621.901417,7.5,3.6
37900,378842.8542,3645.319404,9.6,3.6
38000,31538.61755,709.73434,NA,NA
38200,284045.2307,2135.44756,6.9,3.6
38500,19269.44112,771.604656,NA,NA
38700,1713809.35,11229.00864,14.1,6.6
38900,117366.3193,2559.028214,7.8,NA
40900,129109.9504,3525.361748,3.3,1.5
41900,26090.07598,746.368318,NA,NA
42200,65965.58156,1044.031356,2.4,1.2
42400,364098.5351,3638.504551,8.7,4.2
42700,44052.73021,980.122844,NA,NA
42800,61025.56579,947.856301,5.7,2.7
43100,28092.08993,926.573829,NA,NA
43300,66370.72135,2564.27397,3,1.2
43700,192851.5133,2073.687078,5.1,2.4
43900,845644.3975,4262.541123,9,1.8
44600,57215.96552,1865.745368,1.8,1.2
45000,31027.81623,721.046428,21.6,NA
45100,552416.9865,5429.23972,6.3,2.7
45200,521944.9872,4245.136502,18.3,6
45300,33073.57401,764.340004,NA,NA
45400,34254.6625,684.891403,NA,NA
45500,27916.15446,888.172368,NA,NA
45600,38233.3812,727.961825,NA,NA
45800,26215.3142,726.892986,NA,NA
46000,210178.7625,3710.803064,7.5,2.4
