wbic,lake orders
88,3
92,-1
100,-3
200,-3
300,-3
350,-3
400,4
1800,3
5200,1
5500,-3
5700,3
5900,-3
6100,1
7100,1
7300,2
7500,-3
7600,2
7900,-3
8000,-3
8100,-3
8200,-3
8300,-2
8400,-2
8500,-3
8900,-3
9100,-3
9200,-3
9300,-3
9500,-2
9600,-2
9700,-3
10000,-3
10100,-3
10200,-2
10300,-3
10400,-3
10500,-3
10600,-3
11000,-3
11300,-3
11400,-3
11600,-3
11800,-3
11900,-2
12000,-2
12025,-3
12100,2
12370,-3
12400,-3
12500,-3
12600,-3
12800,-3
13000,-2
13500,-3
13600,-2
13900,-2
14400,-3
14700,2
15500,2
15800,1
16600,-3
19900,-3
20300,0
21700,4
22100,-2
22200,-2
22300,-2
22800,0
23700,-1
24000,2
24100,1
24300,-3
24500,0
24700,2
24900,2
25100,2
25300,2
25600,1
26400,-3
26700,-3
26750,-3
26900,0
27500,0
27900,-3
28100,0
28300,-3
28600,-3
29000,1
29300,1
29400,-1
29700,-2
30300,0
30500,-3
31900,3
32500,1
32700,-3
32800,-3
34100,-3
34300,4
34500,1
34600,1
34700,-3
35000,1
35400,4
35750,1
35900,1
36000,1
36200,0
36700,-3
36800,-3
37800,-3
37900,2
38000,-2
38200,3
38500,0
38700,2
38900,1
40900,2
41900,-2
42200,-2
42400,1
42700,-2
42800,-2
43100,-3
43300,3
43700,2
43900,-2
44600,-3
45000,-3
45100,-3
45200,-3
45300,0
45400,-3
45500,-2
45600,-3
45800,-3
46000,-3
46100,-3
46200,-3
46300,-3
46400,-3
46500,-3
46600,4
46700,-2
46800,-3
47300,-2
47400,-2
47500,1
47700,-3
48000,-3
48100,-3
48300,-3
48600,-3
48700,-3
48760,-3
48790,-3
48800,-3
48900,-3
49100,-3
49300,-3
49400,-3
49800,0
52200,3
52500,3
52900,-3
53000,-3
54600,3
55300,3
55600,3
56000,2
56200,0
56600,1
56700,1
57900,2
58000,0
58200,1
58400,4
58900,4
59300,-3
60500,-2
60800,1
60900,1
61200,1
62700,0
63600,-3
63700,-3
63800,0
64000,0
64200,1
64300,-3
65600,2
66200,-3
66600,1
66800,1
67100,-3
67200,1
67400,2
67700,1
67900,-3
68100,-3
68300,-3
68400,-3
68600,-3
68700,-3
69000,-3
69800,-3
70000,-3
70100,-3
70700,-3
71700,2
72100,-3
72700,1
72800,-3
73100,5
74300,0
74700,-2
74800,-1
74900,-3
75200,3
77200,0
77300,-3
77500,-3
77600,-3
79100,2
79300,1
79500,-3
79600,1
79800,3
81000,-3
81200,3
82800,2
82900,-3
83000,-3
83100,-3
83700,-3
84600,1
84700,0
85000,-3
85200,1
85300,1
85400,1
87900,-3
89800,-3
90600,-3
91400,-3
92600,-2
92700,-3
92900,-3
93100,-3
93200,-3
93300,-3
93400,-3
93500,-3
93700,-2
93800,-3
94200,0
94300,-3
94500,0
94700,0
95100,4
95700,3
96900,-2
97300,2
97700,2
97900,0
98300,-2
98600,1
98900,-2
99100,1
100000,1
101100,-2
101300,-3
101400,-3
101500,-3
101600,-3
101700,-3
101800,-3
101900,-3
102000,-3
102100,-3
102200,-3
102300,-3
102500,-3
102600,-3
102700,-3
102800,-3
102900,-3
103000,-3
103100,-3
103200,-3
103300,-3
103400,-3
103600,-3
103700,-3
103800,-3
103900,-3
104000,-3
104100,-2
104200,-3
104300,-3
104400,-3
104500,-3
104600,-3
104700,-3
104800,-3
104900,-3
105200,-3
105300,-3
105600,-3
105700,-3
105800,-3
105900,-3
106000,-3
106100,-3
106200,-3
106300,-3
106400,-3
106500,-3
106600,-3
106700,-3
106800,-3
106900,-3
107000,-3
107100,-3
107200,-3
107300,-3
107400,-3
107500,-3
107600,-3
107700,-3
107800,-3
107900,-3
108000,-3
108100,-3
108200,-3
108300,-3
108700,-2
108800,-2
108900,-2
109400,-3
109600,-3
109900,-3
110000,-3
110100,-3
110300,-3
110450,-3
110500,-3
110900,-2
111300,-3
111400,-3
111500,-3
111600,0
112000,-3
112100,-3
112200,-2
112300,-3
112500,-2
112600,-2
112800,-1
113200,-2
113500,-2
113600,-3
113700,-3
113800,-3
114050,-3
114600,-3
115200,-3
115900,-3
116000,2
116100,-3
116200,-3
116400,-3
116500,-3
116600,-3
116700,-2
117000,-3
117100,-3
117400,-3
117500,-3
117600,-3
117800,-3
128800,6
129800,6
131100,6
133600,1
134400,4
136700,1
138000,1
139300,-3
139500,-1
139600,1
139900,6
140500,2
141400,3
142200,1
144800,-2
145700,-1
145900,4
146100,4
146400,2
146500,2
147600,2
148100,1
149000,0
149800,3
150600,0
150800,2
150900,0
151000,-3
151300,1
151500,3
151625,1
152000,-3
152200,0
152700,2
155200,-2
155300,-3
155400,-3
155570,-3
155700,-3
156300,1
156500,0
157100,0
157300,-3
157600,2
158300,1
158600,1
158700,5
159300,3
159600,-3
159900,3
160600,0
160800,0
161100,3
161600,-3
161900,0
162500,1
163400,3
163800,-2
163970,0
164300,4
164600,1
165100,0
165300,-2
165500,-1
165700,3
166700,2
167000,1
167800,-3
168000,4
168190,1
168300,1
168400,1
168800,2
169300,-3
169500,-3
170100,1
170850,0
171000,0
171200,-3
172300,3
172350,3
172600,2
173000,-1
173300,2
173500,1
173600,0
173700,-3
175700,3
175900,-3
176000,1
176200,0
176600,1
176900,2
177200,1
177500,-3
177700,-3
178000,2
178300,-3
178500,1
178700,1
179100,0
179800,3
180000,3
180300,3
181300,-3
181400,-3
181500,-3
181600,-3
181700,-3
181800,-3
181900,-3
182000,-3
182100,-3
182200,-3
182300,-3
182400,-3
182600,-2
182700,-3
182800,-3
182900,-3
183000,-3
183100,-3
183200,-3
183300,-3
183400,-3
183500,-3
183600,-3
183700,-3
183800,-3
183900,-3
184000,-3
184100,-3
184200,-3
184300,-3
184400,-3
184500,-3
184600,-2
184700,-3
184800,-3
185000,-3
185100,-3
185200,-3
185300,-3
185400,-3
185500,-3
185600,-3
185700,-3
185800,-3
185900,-3
186000,-3
186100,-3
186200,-2
186400,-3
186500,-2
186600,-3
186700,-3
186800,-3
186900,-3
187000,-3
187100,-2
187200,-3
187300,-3
187400,-3
187500,-3
187600,-3
187700,-3
187800,-3
187900,-3
188000,-3
188100,-3
188200,-2
188300,-3
188500,-3
188600,-3
188700,-3
188800,-3
188900,-3
189000,-3
189100,-3
189200,1
189300,-2
189400,-3
189500,-3
189600,-3
189700,-3
189800,-3
189900,-3
190000,-3
190100,-3
190200,-3
190300,-3
190400,-2
190500,-3
190600,-2
190700,-2
190800,1
190900,-3
191100,-3
191200,-3
191300,-3
191400,-3
191500,-3
191600,-2
191700,-3
191900,-3
192000,-3
192100,-2
192200,-2
192300,-3
192400,-3
192500,-3
192600,-3
192700,-3
192800,-3
192900,-3
193000,-3
193100,-3
193200,-3
193300,-3
193500,-3
193600,-3
193700,-3
193800,-2
193900,-3
194000,-3
194100,-3
194200,-3
194300,-3
194400,-3
194500,-3
194600,-3
194700,-3
194800,-3
194900,-3
195000,-3
195100,-3
195200,-3
195300,-3
195400,-3
195500,-3
195600,-3
195700,-3
195800,-3
195900,-3
196100,-3
196200,-3
196300,-3
196500,-2
196600,-3
196700,-3
196800,-3
197000,-3
197100,-3
197200,-3
197300,-3
197400,-3
197500,-3
197600,0
197700,-3
197800,-3
197900,1
198000,-3
198100,-3
198200,-3
198400,-3
198600,-3
198700,-3
198800,-3
198900,-3
199000,-3
199100,-3
199200,-3
199300,-3
199400,-3
199500,-3
199600,-3
199700,-3
199800,-3
199900,-3
200000,-3
200100,-3
200200,-3
200300,-3
200400,-2
200500,-2
200600,-3
200700,-3
200800,-3
200900,-3
201000,-3
201100,-3
201500,-3
201600,-3
201700,-3
201800,-3
202000,-3
202500,-3
202600,-3
202900,-3
203000,1
203300,-3
203400,-3
203600,-2
203700,-3
204900,-2
205000,5
205100,-3
205300,-3
205400,5
205500,5
205800,2
206000,-3
206100,-3
206200,-3
206300,-3
206400,-3
206700,-3
206800,-3
206900,-1
207000,-3
207100,-2
207400,-3
207800,5
207900,-3
208300,-3
208400,-3
209500,-3
209600,-3
209750,-3
210000,-3
210100,-3
210600,-3
210800,-3
210900,-3
211000,-3
211200,-3
211500,-3
213000,-2
213100,-3
213800,-3
215100,-3
215200,-3
215900,-2
216000,-2
216300,-2
216700,-3
217000,-3
217700,-2
217900,-3
218000,-3
218100,-3
218200,-3
218300,-3
218400,1
218500,-3
218600,-2
218700,-3
219000,-3
219200,-3
219300,-2
219500,-2
219900,-3
220100,-3
220300,-2
220500,-3
220700,-3
221000,-2
222300,-3
222400,-3
222600,-3
223100,-3
223200,-3
223400,-3
223600,-3
224100,-3
224200,-3
224600,-3
224800,-3
225000,-3
225100,-3
225400,-3
226200,-3
226700,-3
226900,-3
228400,-3
228600,-3
228700,-3
229300,-3
229400,-3
229700,-3
230500,-3
230800,-3
231700,-3
231800,-3
231950,-3
232000,-2
232200,-3
232600,-2
232800,-3
233300,-3
233500,-2
233600,-3
234000,-3
234200,-3
234600,-3
234900,-2
235000,-2
235100,-2
235300,-3
235600,-3
236000,-3
236500,-3
236700,-3
237300,-3
237400,-3
237600,4
237900,-3
238200,-2
239000,-3
240100,-3
240200,-3
240300,1
240400,-3
240500,-3
240600,-3
240700,-3
240800,-3
240900,-3
241000,-3
241100,-3
241200,-3
241500,0
241600,6
242800,6
244800,3
245600,0
245650,1
245700,1
245800,0
246100,-3
246300,2
246500,2
246700,2
246900,0
247100,-2
247200,-2
247300,-3
247700,-3
248700,-1
249300,1
249400,0
249600,3
249800,-3
250000,-3
250300,-3
251600,1
251700,-2
252300,0
253700,-2
253800,6
254700,-2
254900,-3
255000,2
255300,0
255600,0
256100,2
256600,1
256700,-3
256800,1
257700,4
258400,3
258600,1
258700,1
258900,3
259200,3
259600,-3
259800,-3
260000,-3
260400,1
261000,3
261200,3
261900,-3
262200,1
