wbic,Longitude,Latitude
88,-87.39158,44.862222
92,-87.549845,44.838243
100,-87.821756,42.687839
200,-88.061885,43.00863
300,-88.072215,42.937548
350,-87.834041,42.694826
400,-87.822694,42.748691
1800,-87.873121,42.651085
5200,-88.069334,42.883433
5500,-87.961543,42.926708
5700,-87.994162,42.922441
5900,-88.001914,42.920184
6100,-87.987149,42.939895
7100,-88.069932,42.941181
7300,-88.033767,42.925019
7500,-88.037393,42.913063
7600,-88.034589,42.954055
7900,-88.168821,43.446392
8000,-88.123027,43.59563
8100,-88.200005,43.646674
8200,-88.172455,43.441149
8300,-88.206411,43.591909
8400,-88.149649,43.629998
8500,-87.980218,43.286913
8900,-88.167246,43.607613
9100,-88.003585,43.411105
9200,-88.051929,43.369552
9300,-87.978248,43.451324
9500,-88.006149,43.404421
9600,-87.982471,43.513249
9700,-87.899358,42.990361
10000,-87.920997,43.003872
10100,-87.936423,43.175609
10200,-88.161975,43.613008
10300,-87.970214,43.116938
10400,-88.155061,43.477857
10500,-87.942965,43.02532
10600,-87.984257,43.338543
11000,-88.043749,43.029785
11300,-88.125252,43.255863
11400,-88.02659,43.39745
11600,-88.326466,43.561814
11800,-88.106386,43.589961
11900,-88.202583,43.596125
12000,-88.199928,43.66934
12025,-88.079385,43.070485
12100,-87.990853,43.237848
12370,-88.134024,43.452887
12400,-88.003588,43.446457
12500,-88.012362,43.422613
12600,-88.014081,43.406983
12800,-88.017403,43.404334
13000,-87.995347,43.404753
13500,-88.136097,43.608293
13600,-88.133078,43.588391
13900,-88.133603,43.586133
14400,-87.96782,43.055054
14700,-87.854407,42.913058
15500,-87.93618,42.972024
15800,-87.963529,42.996074
16600,-88.013043,42.997741
19900,-87.954512,43.157859
20300,-87.959664,43.201423
21700,-87.979356,43.298011
22100,-88.020995,43.374494
22200,-88.001323,43.388618
22300,-88.000848,43.394058
22800,-88.0303,43.408528
23700,-88.206996,43.267936
24000,-88.180354,43.326821
24100,-88.190561,43.32844
24300,-88.203203,43.332393
24500,-88.229425,43.315105
24700,-88.218437,43.332378
24900,-88.228091,43.338309
25100,-88.228587,43.37453
25300,-88.263257,43.385919
25600,-88.255367,43.413185
26400,-87.986752,43.364244
26700,-87.958219,43.507718
26750,-87.96671,43.474773
26900,-87.996008,43.441943
27500,-88.094622,43.477099
27900,-88.128,43.481642
28100,-88.100855,43.459703
28300,-88.159689,43.451272
28600,-88.162878,43.446506
29000,-88.104777,43.52624
29300,-88.155988,43.551924
29400,-88.143459,43.582746
29700,-88.051675,43.521105
30300,-87.953539,43.555226
30500,-87.962732,43.540957
31900,-88.019402,43.589038
32500,-88.015415,43.6467
32700,-88.007454,43.649634
32800,-88.016996,43.649642
34100,-87.999446,43.425647
34300,-88.051131,43.432794
34500,-88.0836,43.405658
34600,-88.088612,43.402272
34700,-88.095238,43.396754
35000,-88.204196,43.374077
35400,-88.181237,43.434725
35750,-88.21682,43.413794
35900,-88.214296,43.406753
36000,-88.216427,43.398966
36200,-88.212998,43.387866
36700,-88.191434,43.472221
36800,-88.186127,43.47741
37800,-88.143518,43.613707
37900,-88.156678,43.622999
38000,-88.155904,43.629154
38200,-88.181564,43.602321
38500,-88.134358,43.66285
38700,-88.169367,43.672657
38900,-88.170579,43.689652
40900,-88.302795,43.567174
41900,-88.229211,43.590677
42200,-88.22052,43.597618
42400,-88.207071,43.598531
42700,-88.209054,43.606285
42800,-88.190816,43.660499
43100,-88.246357,43.608116
43300,-88.267227,43.602808
43700,-88.223054,43.657015
43900,-88.210086,43.653267
44600,-87.892655,43.0471
45000,-87.949895,43.806845
45100,-87.9387,43.925046
45200,-88.017632,43.806334
45300,-87.939605,43.865713
45400,-87.742633,44.056863
45500,-87.980792,43.940455
45600,-87.917423,43.547838
45800,-87.736198,44.059269
46000,-87.978145,43.808357
46100,-88.129447,43.742454
46200,-87.945961,43.961228
46300,-87.926788,43.921653
46400,-87.923779,43.924767
46500,-87.803172,43.73095
46600,-87.744361,43.782249
46700,-87.988366,43.943931
46800,-87.795889,43.492562
47300,-88.238463,43.855126
47400,-88.022062,43.888156
47500,-87.94465,43.870151
47700,-87.944216,43.846608
48000,-87.901984,43.829284
48100,-87.789288,43.87218
48300,-87.958223,43.921233
48600,-87.89193,43.953226
48700,-87.89384,43.928706
48760,-87.857483,43.993547
48790,-87.85411,43.991989
48800,-87.857118,43.9884
48900,-87.847993,43.986142
49100,-87.768909,43.990571
49300,-87.897224,43.931788
49400,-87.731293,44.040784
49800,-87.934734,43.537925
52200,-87.918509,43.64662
52500,-87.948044,43.681341
52900,-88.027253,43.732774
53000,-88.03069,43.734515
54600,-87.972665,43.750973
55300,-88.033317,43.798638
55600,-88.044989,43.794933
56000,-88.201842,43.744263
56200,-88.228969,43.729932
56600,-87.957898,43.806576
56700,-87.955546,43.808155
57900,-87.944069,43.958178
58000,-87.958836,43.96969
58200,-87.978653,43.935396
58400,-88.010171,43.922583
58900,-88.068129,43.837484
59300,-88.025831,43.825892
60500,-88.179832,43.823077
60800,-88.208039,43.864383
60900,-88.221103,43.860181
61200,-88.184999,43.806865
62700,-87.864406,43.832013
63600,-87.886314,43.962315
63700,-87.895767,43.968847
63800,-87.875027,43.981622
64000,-87.87378,43.986661
64200,-87.891274,43.93128
64300,-87.898252,43.936373
65600,-87.7286,43.917049
66200,-87.764781,43.990254
66600,-87.752938,44.021728
66800,-87.764025,44.025439
67100,-87.730625,44.053578
67200,-87.737613,44.045328
67400,-87.737522,44.069745
67700,-87.758228,44.086042
67900,-87.765575,44.067726
68100,-87.785671,44.045621
68300,-88.037122,44.10342
68400,-87.931021,43.986439
68600,-88.04915,44.152738
68700,-87.931185,43.983974
69000,-87.999046,43.964474
69800,-87.901376,43.997086
70000,-87.905606,43.997685
70100,-88.032584,44.123824
70700,-87.789183,44.108498
71700,-87.853054,44.146735
72100,-87.849664,44.239259
72700,-87.818077,44.110402
72800,-87.819795,44.1215
73100,-87.868563,44.096318
74300,-87.926305,44.001637
74700,-87.855299,44.017083
74800,-87.859853,44.00308
74900,-87.85708,44.000036
75200,-87.962885,44.093935
77200,-88.061149,44.14926
