wbic,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,CultivatedCrops,Wetlands
88,0.501817301,0.039253695,0.167191665,0.007026896,0.01720378,0.167676278,0.023746063,0.076084323
92,0.223503965,0.090843547,0.043258832,0.056236482,0.038211968,0.330209084,0.046142754,0.171593367
100,0.868932039,0,0.029126214,0,0.101941748,0,0,0
200,1,0,0,0,0,0,0,0
300,0.271604938,0,0.419753086,0,0,0.074074074,0.061728395,0.172839506
350,0.886363636,0,0,0,0.113636364,0,0,0
400,0.709219858,0,0.028368794,0,0,0,0,0.262411348
1800,0.502242152,0,0.215246637,0,0.282511211,0,0,0
5200,0.072916667,0,0.21875,0,0,0.078125,0.442708333,0.1875
5500,0.102564103,0,0.487179487,0.128205128,0,0,0.102564103,0.179487179
5700,0,0,0.153846154,0,0,0,0.017094017,0.829059829
5900,0.352517986,0,0.294964029,0,0,0,0.28057554,0.071942446
6100,0.277777778,0,0.5,0,0,0,0,0.222222222
7100,0.39869281,0,0.209150327,0,0,0.235294118,0.091503268,0.065359477
7300,0.157360406,0,0.45177665,0,0,0,0.076142132,0.314720812
7500,0.084033613,0,0.579831933,0,0,0.008403361,0,0.327731092
7600,0.356521739,0,0.008695652,0,0,0.208695652,0,0.426086957
7900,0,0,0.32173913,0,0,0,0.086956522,0.591304348
8000,0.201970443,0,0,0,0,0.246305419,0.472906404,0.078817734
8100,0.28,0,0.382222222,0,0,0.08,0,0.257777778
8200,0,0,0.645454545,0,0,0,0.018181818,0.336363636
8300,0,0,0.528985507,0,0,0,0,0.471014493
8400,0,0,0.628099174,0,0,0,0,0.371900826
8500,0.424528302,0,0.396226415,0,0,0.179245283,0,0
8900,0.269372694,0,0.63099631,0.033210332,0,0,0,0.066420664
9100,0.006289308,0,0.006289308,0,0,0,0,0.987421384
9200,0,0,0.014184397,0,0,0,0.021276596,0.964539007
9300,0.483050847,0,0.279661017,0.016949153,0,0.016949153,0.203389831,0
9500,0,0,0.025906736,0,0,0,0.041450777,0.932642487
9600,0.041984733,0,0.091603053,0.003816794,0,0.019083969,0.053435115,0.790076336
9700,0.858695652,0,0,0,0,0,0,0.141304348
10000,1,0,0,0,0,0,0,0
10100,0.569105691,0,0.430894309,0,0,0,0,0
10200,0,0,0.707006369,0,0.012738854,0,0,0.280254777
10300,1,0,0,0,0,0,0,0
10400,0.08411215,0,0.214953271,0,0,0.205607477,0.373831776,0.121495327
10500,0.836956522,0,0,0,0,0,0,0.163043478
10600,0.136363636,0,0.125,0,0,0,0.613636364,0.125
11000,1,0,0,0,0,0,0,0
11300,0.333333333,0,0.35483871,0.172043011,0,0.139784946,0,0
11400,0.098901099,0,0.131868132,0,0,0.230769231,0.065934066,0.472527473
11600,0,0,0.586206897,0,0,0,0.413793103,0
11800,0,0,0.494623656,0,0.032258065,0.010752688,0.344086022,0.11827957
11900,0.06185567,0,0.659793814,0,0,0,0,0.278350515
12000,0,0,0,0,0,0,0,1
12025,0.044692737,0,0.61452514,0.100558659,0,0,0.240223464,0
12100,0.098039216,0,0.215686275,0,0,0,0.176470588,0.509803922
12370,0,0,0.488095238,0,0.035714286,0,0.107142857,0.369047619
12400,0,0,0.043478261,0,0.032608696,0.02173913,0,0.902173913
12500,0.068965517,0,0.179310345,0,0,0,0.255172414,0.496551724
12600,0,0,0.020134228,0,0.033557047,0.080536913,0.10738255,0.758389262
12800,0,0,0.148514851,0,0.069306931,0,0.247524752,0.534653465
13000,0.086206897,0,0.017241379,0,0,0,0.017241379,0.879310345
13500,0.017094017,0,0.293447293,0,0,0.222222222,0.168091168,0.299145299
13600,0,0,0.139240506,0,0,0,0.050632911,0.810126582
13900,0,0,0.411764706,0,0,0,0,0.588235294
14400,1,0,0,0,0,0,0,0
14700,0.5,0,0.392857143,0,0,0,0,0.107142857
15500,1,0,0,0,0,0,0,0
15800,0.603174603,0,0.396825397,0,0,0,0,0
16600,0.769230769,0,0,0,0,0,0,0.230769231
19900,1,0,0,0,0,0,0,0
20300,0.557003257,0,0.094462541,0,0,0,0,0.348534202
21700,0.615384615,0,0.076923077,0,0,0,0.011538462,0.296153846
22100,0,0,0,0,0,0,0,1
22200,0,0,0,0,0,0.019292605,0,0.980707395
22300,0,0,0,0,0,0,0,1
22800,0.022988506,0,0.034482759,0,0,0,0,0.942528736
23700,0,0,0.195402299,0,0.045977011,0.045977011,0.712643678,0
24000,0.439393939,0,0,0,0,0.25,0.310606061,0
24100,0.1328125,0,0.2578125,0,0,0.2265625,0.328125,0.0546875
24300,0,0,0.430232558,0.11627907,0,0.209302326,0.081395349,0.162790698
24500,0,0,0.532608696,0,0,0.065217391,0,0.402173913
24700,0.062068966,0,0.55862069,0,0,0.110344828,0.055172414,0.213793103
24900,0.0625,0,0.5625,0.027777778,0,0,0,0.347222222
25100,0.148584906,0,0.39504717,0.027122642,0.017688679,0.007075472,0.070754717,0.333726415
25300,0.299643282,0,0.409631391,0.042806183,0.05529132,0.046373365,0.05648038,0.089774078
25600,0.051679587,0,0.142118863,0,0.007751938,0.020671835,0,0.777777778
26400,0.151515152,0,0.363636364,0.090909091,0,0.121212121,0.101010101,0.171717172
26700,0,0,0.285714286,0,0,0,0.134453782,0.579831933
26750,0.04375,0,0.13125,0.20625,0,0.55625,0,0.0625
26900,0.019607843,0,0.343137255,0.058823529,0,0.039215686,0.088235294,0.450980392
27500,0.045918367,0,0.62755102,0,0,0.091836735,0.204081633,0.030612245
27900,0.082758621,0,0.434482759,0.034482759,0,0.089655172,0.331034483,0.027586207
28100,0.223163842,0,0.257062147,0,0,0,0.192090395,0.327683616
28300,0.314285714,0,0.246428571,0,0,0.021428571,0.353571429,0.064285714
28600,0.14516129,0,0.282258065,0,0,0,0.451612903,0.120967742
29000,0.243697479,0,0.193277311,0,0,0.168067227,0.369747899,0.025210084
29300,0,0,0,0,0.016483516,0.010989011,0.021978022,0.950549451
29400,0,0,0.197916667,0,0,0.010416667,0.041666667,0.75
29700,0.046296296,0,0.157407407,0,0,0,0.101851852,0.694444444
30300,0.428819444,0,0.157986111,0.013888889,0,0.029513889,0.203125,0.166666667
30500,0,0,0.392982456,0,0,0.09122807,0.231578947,0.284210526
31900,0.12987013,0,0.103896104,0,0,0.272727273,0.194805195,0.298701299
32500,0.126153846,0,0.270769231,0.033846154,0,0.070769231,0.178461538,0.32
32700,0.310810811,0,0.067567568,0.067567568,0,0.054054054,0.040540541,0.459459459
32800,0.073170732,0,0.390243902,0,0,0,0.349593496,0.18699187
34100,0.107913669,0,0.057553957,0,0,0.035971223,0.115107914,0.683453237
34300,0.215827338,0,0.035971223,0.107913669,0,0.417266187,0.028776978,0.194244604
34500,0,0,0.431192661,0,0,0.009174312,0,0.559633028
34600,0,0,0.359649123,0.421052632,0,0.219298246,0,0
34700,0,0,0.461538462,0,0,0.076923077,0,0.461538462
35000,0,0,0.670454545,0,0.011363636,0.022727273,0,0.295454545
35400,0.583783784,0,0.142342342,0,0,0.003603604,0.075675676,0.194594595
35750,0.148148148,0,0.598765432,0,0,0,0.049382716,0.203703704
35900,0.133165829,0,0.75879397,0.007537688,0,0,0,0.100502513
36000,0,0,0.776,0,0.056,0,0,0.168
36200,0.313131313,0,0.513131313,0.016161616,0.016161616,0,0,0.141414141
36700,0.118644068,0,0.101694915,0.11299435,0,0.033898305,0.355932203,0.276836158
36800,0,0,0.385620915,0.032679739,0.019607843,0,0.254901961,0.307189542
37800,0.138888889,0,0.444444444,0.092592593,0,0,0.041666667,0.282407407
37900,0.087794433,0,0.132762313,0.010706638,0,0,0.042826552,0.725910064
38000,0,0,0.066666667,0,0,0,0,0.933333333
38200,0.149253731,0,0.063432836,0,0,0.03358209,0,0.753731343
38500,0.058252427,0,0.495145631,0,0,0,0,0.446601942
38700,0.243111831,0,0.170178282,0.025121556,0.042139384,0.027552674,0.050243112,0.44165316
38900,0.283783784,0,0.166666667,0,0.004504505,0,0,0.545045045
40900,0.307277628,0,0.175202156,0.04851752,0.029649596,0.053908356,0.105121294,0.28032345
41900,0.026785714,0,0.214285714,0,0,0.044642857,0,0.714285714
42200,0.06,0,0.293333333,0.033333333,0,0,0,0.613333333
42400,0.173076923,0,0.34375,0.012019231,0,0.038461538,0.004807692,0.427884615
42700,0.050359712,0,0.143884892,0,0,0,0,0.805755396
42800,0.062937063,0,0.370629371,0,0,0,0,0.566433566
43100,0,0,0.380597015,0,0.029850746,0.28358209,0.223880597,0.082089552
43300,0.291208791,0,0.027472527,0.016483516,0.005494505,0.137362637,0.392857143,0.129120879
43700,0.056768559,0,0.15720524,0,0,0.056768559,0.104803493,0.624454148
43900,0.257142857,0,0.2,0,0,0.13877551,0.136734694,0.267346939
44600,0.9218107,0,0.053497942,0,0,0,0,0.024691358
45000,0,0,0.465517241,0,0,0,0.163793103,0.370689655
45100,0.191964286,0,0.421875,0.024553571,0.017857143,0.053571429,0.261160714,0.029017857
45200,0.49742268,0,0.350515464,0.072164948,0.036082474,0.00257732,0,0.041237113
45300,0,0,0.277777778,0.037037037,0,0.351851852,0.037037037,0.296296296
45400,0.172413793,0,0.00862069,0,0,0.025862069,0,0.793103448
45500,0.173228346,0,0.228346457,0,0,0,0.031496063,0.566929134
45600,0,0,0.330275229,0,0,0,0.614678899,0.055045872
45800,0.06779661,0,0.144067797,0,0,0.423728814,0,0.36440678
46000,0.145205479,0,0.589041096,0.115068493,0,0.01369863,0.057534247,0.079452055
46100,0,0,0.565656566,0,0.04040404,0.01010101,0.232323232,0.151515152
46200,0.197530864,0,0.172839506,0,0.061728395,0.049382716,0.345679012,0.172839506
46300,0,0,0.666666667,0,0,0,0,0.333333333
46400,0,0,0.835051546,0,0,0,0.092783505,0.072164948
46500,0.392156863,0,0.382352941,0,0,0,0,0.225490196
46600,0.176470588,0,0.142857143,0.12605042,0,0.058823529,0.277310924,0.218487395
46700,0,0,0.404255319,0.007092199,0,0.056737589,0.106382979,0.425531915
46800,0,0,0.006622517,0,0,0,0,0.993377483
47300,0,0,0.120879121,0,0,0,0.406593407,0.472527473
47400,0.25,0,0.302631579,0.026315789,0,0,0.197368421,0.223684211
47500,0.176470588,0,0,0,0,0,0.014705882,0.808823529
