wbic,Secchi_satellite,Secchi,Calcium,Conductance,Alkalinity,pH,totalP,Color,Dissolved OC,MEI
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,0.341224916,1,NA,999,190,8.8,NA,4,NA,832.5
300,NA,2,NA,381,181,7.4,NA,4,NA,NA
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,2.642648608,4.8,NA,820,180,7.8,NA,3,NA,NA
1800,NA,NA,NA,497,NA,NA,NA,NA,NA,NA
5200,NA,1,NA,823,149,7.5,NA,5,NA,NA
5500,NA,1,NA,999,209,8.4,NA,2,NA,NA
5700,NA,1,NA,999,214,8.3,NA,4,NA,NA
5900,NA,3,NA,500,160,8,NA,4,NA,NA
6100,0.718116929,1,NA,999,175,8.2,NA,5,NA,555
7100,0.777102968,2.4,NA,595,205,7.2,NA,4,NA,NA
7300,1.340918965,1.2,NA,999,272,8.4,NA,5,NA,555
7500,1.630013868,3.3,NA,838,147,8.5,NA,4,NA,NA
7600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7900,NA,2,NA,590,240,7.8,NA,1,NA,NA
8000,0.960657164,3,NA,199,114,8.1,NA,4,NA,NA
8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8200,NA,1,NA,195,60,7.9,NA,4,NA,NA
8300,1.056099058,1.5,NA,407,210,8.4,NA,4,NA,678.3333333
8400,2.764216142,3,NA,228,129,8,NA,4,2,126.6666667
8500,NA,1,NA,491,194,8.4,NA,5,NA,NA
8900,3.159147903,3.6,25.7125,219.0422535,145,8.48556338,NA,4,NA,66.37644045
9100,NA,4,NA,483,210,8.4,NA,1,NA,NA
9200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9500,3.010629307,3.6,NA,479,225,8.3,NA,1,NA,NA
9600,1.578033119,2.1,NA,322,158,7.5,NA,1,NA,NA
9700,NA,NA,NA,456,136,8.3,NA,5,NA,NA
10000,NA,1,NA,360,117,7.6,NA,5,NA,NA
10100,NA,2,NA,738,192,8.2,NA,4,NA,NA
10200,2.240486321,1.5,NA,107,49,7.2,NA,4,NA,NA
10300,NA,5,NA,422,130,8.9,NA,5,NA,NA
10400,NA,2,NA,495,211,8.8,NA,4,NA,NA
10500,NA,NA,NA,427,119,8.6,NA,5,NA,284.6666667
10600,NA,1,NA,347,181,8.4,NA,1,NA,NA
11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11300,NA,2,NA,778,262,8,NA,4,NA,NA
11400,NA,2,NA,392,180,8.2,NA,1,NA,NA
11600,2.013117978,1.2,NA,241,200,9.1,NA,4,NA,133.8888889
11800,NA,2,NA,146,61,7.3,NA,4,NA,NA
11900,0.222690833,0.6,NA,382,93,8.5,NA,4,NA,636.6666667
12000,1.167848408,0.9,NA,150,100,7.5,NA,1,NA,166.6666667
12025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12100,NA,2,NA,298,136,8.4,NA,4,NA,NA
12370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12400,NA,1,NA,108,79,7.2,NA,1,NA,NA
12500,0.55771645,1.5,NA,374,179,8.5,NA,4,NA,NA
12600,2.68420182,2.7,NA,361,168,8.5,NA,4,NA,NA
12800,NA,2,NA,469,212,8,NA,4,NA,NA
13000,NA,4,NA,468,246,8.2,NA,4,NA,NA
13500,NA,NA,NA,55,16,6.9,NA,4,NA,NA
13600,NA,1,NA,79,32,6.9,NA,1,NA,NA
13900,NA,1,NA,93,26,6.5,NA,1,NA,NA
14400,0.440631643,0.6,NA,340,124,8.4,NA,5,NA,377.7777778
14700,NA,1,NA,999,264,8.3,NA,4,NA,NA
15500,NA,NA,NA,381,208,8.3,NA,5,NA,NA
15800,NA,1,NA,847,124,8.6,NA,4,NA,NA
16600,NA,1,NA,400,132,8.1,NA,1,NA,NA
19900,NA,1,NA,999,200,8,NA,5,NA,NA
20300,0.659514322,0.85,32,419,142.5,8,0.051,5,NA,NA
21700,0.825977762,0.9,NA,614,NA,NA,NA,NA,NA,NA
22100,1.693483182,1.2,NA,293,154,7.8,NA,2,NA,325.5555556
22200,1.141593978,1.5,NA,631,281,7.9,NA,4,NA,NA
22300,NA,1,NA,333,167,7.9,NA,1,NA,NA
