wbic,HUC10,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,Cultivated,Wetlands
88,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
200,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
300,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
350,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
400,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
1800,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
5200,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
5500,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
5700,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
5900,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
6100,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7100,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7300,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7500,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7600,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
7900,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8000,404000301,0.059519318,0.002380964,0.161048197,0.007966795,0.007243193,0.243940125,0.410906104,0.106995304
8100,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8200,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8300,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8400,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
8500,404000303,0.147208435,0.003505895,0.122317417,0.008413589,0.006166794,0.164002037,0.39388301,0.154502823
8900,404000302,0.105321579,0.001044776,0.154761083,0.009455412,0.006509068,0.229796953,0.300055244,0.193055886
