year,wbic,simulation_length_days,winter_dur_0-4
1979,200,249,NA
1980,200,247,141
1981,200,257,138
1982,200,246,150
1983,200,265,148
1984,200,241,142
1985,200,244,155
1986,200,242,135
1987,200,273,150
1988,200,259,140
1989,200,245,158
1990,200,271,147
1991,200,250,127
1992,200,269,161
1993,200,259,149
1994,200,259,154
1995,200,248,137
1996,200,233,155
1997,200,248,170
1998,200,300,132
1999,200,264,124
2000,200,269,121
2001,200,268,142
2002,200,243,124
2003,200,263,155
2004,200,273,139
2005,200,249,128
2006,200,273,125
2007,200,256,157
2008,200,242,136
2009,200,267,144
2010,200,265,112
2011,200,272,139
2012,200,262,125
1979,400,270,NA
1980,400,272,120
1981,400,286,117
1982,400,275,131
1983,400,294,114
1984,400,275,125
1985,400,271,110
1986,400,267,114
1987,400,304,118
1988,400,278,112
1989,400,267,111
1990,400,294,112
1991,400,282,107
1992,400,297,125
1993,400,283,115
1994,400,288,116
1995,400,267,130
1996,400,258,138
1997,400,290,126
1998,400,318,125
1999,400,286,102
2000,400,290,81
2001,400,288,128
2002,400,267,109
2003,400,294,114
2004,400,295,113
2005,400,270,106
2006,400,318,119
2007,400,280,108
2008,400,267,124
2009,400,291,112
2010,400,287,91
2011,400,316,105
2012,400,274,95
1979,6100,253,NA
1980,6100,251,137
1981,6100,263,139
1982,6100,251,148
1983,6100,274,130
1984,6100,245,139
1985,6100,250,129
1986,6100,247,129
1987,6100,277,125
1988,6100,261,128
1989,6100,249,139
1990,6100,275,129
1991,6100,263,124
1992,6100,274,135
1993,6100,265,136
1994,6100,264,131
1995,6100,252,115
1996,6100,237,153
1997,6100,251,147
1998,6100,302,127
1999,6100,269,123
2000,6100,273,107
2001,6100,272,140
2002,6100,249,111
2003,6100,268,137
2004,6100,276,125
2005,6100,252,120
2006,6100,278,123
2007,6100,261,135
2008,6100,247,129
2009,6100,271,127
2010,6100,269,104
2011,6100,279,124
2012,6100,262,116
1979,7100,254,NA
1980,7100,250,135
1981,7100,260,130
1982,7100,251,142
1983,7100,268,145
1984,7100,245,134
1985,7100,249,131
1986,7100,246,126
1987,7100,274,130
1988,7100,263,126
1989,7100,249,128
1990,7100,275,137
1991,7100,256,114
1992,7100,274,153
1993,7100,265,144
1994,7100,263,134
1995,7100,253,116
1996,7100,239,156
1997,7100,253,137
1998,7100,303,132
1999,7100,269,116
2000,7100,273,99
2001,7100,274,134
2002,7100,250,117
2003,7100,270,126
2004,7100,278,122
2005,7100,253,121
2006,7100,277,132
2007,7100,261,126
2008,7100,247,132
2009,7100,272,127
2010,7100,271,103
2011,7100,277,130
2012,7100,260,115
1979,8000,231,NA
1980,8000,240,150
1981,8000,243,148
1982,8000,233,149
1983,8000,258,148
1984,8000,236,149
1985,8000,237,151
1986,8000,239,140
1987,8000,264,133
1988,8000,252,134
1989,8000,237,153
1990,8000,261,137
1991,8000,246,134
1992,8000,246,156
1993,8000,254,148
1994,8000,255,146
1995,8000,241,138
1996,8000,225,160
1997,8000,237,150
1998,8000,293,135
1999,8000,260,129
2000,8000,264,105
2001,8000,268,140
2002,8000,237,121
2003,8000,258,152
2004,8000,269,132
2005,8000,244,128
2006,8000,268,133
2007,8000,251,139
2008,8000,239,140
2009,8000,259,139
2010,8000,261,109
2011,8000,264,133
2012,8000,256,120
1979,8300,222,NA
1980,8300,231,157
1981,8300,236,153
1982,8300,228,154
1983,8300,250,149
1984,8300,230,152
1985,8300,230,159
1986,8300,233,144
1987,8300,257,141
1988,8300,244,145
1989,8300,235,150
1990,8300,254,152
1991,8300,238,142
1992,8300,231,157
1993,8300,240,156
1994,8300,248,151
1995,8300,233,145
1996,8300,218,167
1997,8300,234,154
1998,8300,286,145
