,WBIC,county
1,2914800,ASHLAND
2,2079700,BARRON
3,2109800,BARRON
4,2661100,BARRON
5,2732600,BAYFIELD
6,2734200,BAYFIELD
7,2742100,BAYFIELD
8,2742500,BAYFIELD
9,2742700,BAYFIELD
10,2902900,BAYFIELD
11,2903100,BAYFIELD
12,2903200,BAYFIELD
13,2903700,BAYFIELD
14,2903800,BAYFIELD
15,2904000,BAYFIELD
16,2495100,BURNETT
17,2674800,BURNETT
18,2675200,BURNETT
19,2678100,BURNETT
20,2706500,BURNETT
21,2706800,BURNETT
22,2152800,CHIPPEWA
23,2351400,CHIPPEWA
24,2741600,DOUGLAS
25,2747300,DOUGLAS
26,2856400,DOUGLAS
27,2858100,DOUGLAS
28,2133200,EAU CLAIRE
29,378400,FOREST
30,394400,FOREST
31,692400,FOREST
32,2294900,IRON
33,2295200,IRON
34,2303500,IRON
35,2306300,IRON
36,2942300,IRON
37,2949200,IRON
38,1482400,LINCOLN
39,1506800,LINCOLN
40,1515400,LINCOLN
41,1516400,LINCOLN
42,1516500,LINCOLN
43,1516800,LINCOLN
44,1519600,LINCOLN
45,417400,OCONTO
46,418700,OCONTO
47,487500,OCONTO
48,971600,ONEIDA
49,973000,ONEIDA
50,977500,ONEIDA
51,1517200,ONEIDA
52,1517900,ONEIDA
53,1523000,ONEIDA
54,1523600,ONEIDA
55,1528300,ONEIDA
56,1536300,ONEIDA
57,1537800,ONEIDA
58,1539600,ONEIDA
59,1542300,ONEIDA
60,1542400,ONEIDA
61,1542700,ONEIDA
62,1543300,ONEIDA
63,1544700,ONEIDA
64,1544800,ONEIDA
65,1564200,ONEIDA
66,1569600,ONEIDA
67,1569900,ONEIDA
68,1572000,ONEIDA
69,1572300,ONEIDA
70,1573800,ONEIDA
71,1579900,ONEIDA
72,1586600,ONEIDA
73,1588200,ONEIDA
74,1589100,ONEIDA
75,1595300,ONEIDA
76,1595600,ONEIDA
77,1595800,ONEIDA
78,1596900,ONEIDA
79,1597000,ONEIDA
80,1597600,ONEIDA
81,1598000,ONEIDA
82,1603800,ONEIDA
83,1605800,ONEIDA
84,1609000,ONEIDA
85,1609100,ONEIDA
86,1609600,ONEIDA
87,1610300,ONEIDA
88,1610400,ONEIDA
89,1610500,ONEIDA
90,1610600,ONEIDA
91,1610700,ONEIDA
92,1610800,ONEIDA
93,1611700,ONEIDA
94,1611800,ONEIDA
95,1612200,ONEIDA
96,1612300,ONEIDA
97,1612900,ONEIDA
98,1613000,ONEIDA
99,1618100,ONEIDA
100,2271600,ONEIDA
101,2272600,ONEIDA
102,2615100,POLK
103,2618000,POLK
104,2618100,POLK
105,2620600,POLK
106,2627400,POLK
107,2236800,PRICE
108,2242500,PRICE
109,2267800,PRICE
110,2268300,PRICE
111,2268500,PRICE
112,2283300,PRICE
113,2350200,RUSK
114,2350400,RUSK
115,2350500,RUSK
116,2350600,RUSK
117,2353600,RUSK
118,2359700,RUSK
119,2046500,SAWYER
120,2275100,SAWYER
121,2275300,SAWYER
122,2381100,SAWYER
123,2382300,SAWYER
124,2390800,SAWYER
125,2391200,SAWYER
126,2392000,SAWYER
127,2393200,SAWYER
128,2393500,SAWYER
129,2395500,SAWYER
130,2395600,SAWYER
131,2399700,SAWYER
132,2417000,SAWYER
133,2418600,SAWYER
134,2420600,SAWYER
135,2435000,SAWYER
136,2435700,SAWYER
137,2725500,SAWYER
138,716800,VILAS
139,995200,VILAS
140,1018500,VILAS
141,1539700,VILAS
142,1545300,VILAS
143,1545600,VILAS
144,1591100,VILAS
145,1592400,VILAS
146,1593100,VILAS
147,1596300,VILAS
148,1599600,VILAS
149,1599900,VILAS
150,1600000,VILAS
151,1600100,VILAS
152,1600200,VILAS
153,1600300,VILAS
154,1603400,VILAS
155,1603700,VILAS
156,1621000,VILAS
157,1621800,VILAS
158,1623800,VILAS
159,1629500,VILAS
160,1630100,VILAS
161,1631900,VILAS
162,1835300,VILAS
163,1881900,VILAS
164,2268600,VILAS
165,2310200,VILAS
166,2310400,VILAS
167,2311100,VILAS
168,2311700,VILAS
169,2316600,VILAS
170,2327500,VILAS
171,2328700,VILAS
172,2328800,VILAS
173,2328900,VILAS
174,2329000,VILAS
175,2329300,VILAS
176,2329400,VILAS
177,2329600,VILAS
178,2329800,VILAS
179,2331600,VILAS
180,2332400,VILAS
181,2334300,VILAS
182,2334400,VILAS
183,2334700,VILAS
184,2338300,VILAS
185,2340500,VILAS
186,2340700,VILAS
187,2340900,VILAS
188,2953500,VILAS
189,2953800,VILAS
190,2954500,VILAS
191,2954800,VILAS
192,2956500,VILAS
193,2956800,VILAS
194,2958500,VILAS
195,2962400,VILAS
196,2962900,VILAS
197,2963800,VILAS
198,2964100,VILAS
199,2451900,WASHBURN
200,2496300,WASHBURN
201,2691500,WASHBURN
202,2710800,WASHBURN
