lakename,lakeid,lake_number,lake_abbr_biocom,plotid,site,plot,zone,type,source,species,scientific_name,common_name,diameter,diameter_estimated,length,length_estimated,length_range_code,branchiness,decay,orientation,elevation,intersections,comment_code,comments
Allequash Lake,AL,27,AL,27111,1,A,1,LOG,N,UNK,,unknown,57.3,0,,,2,0,3,PARA,2,0,7,7 = Transect in wrong place: Bog shoreline -  transect deeper than 0.5 m
Allequash Lake,AL,27,AL,27121,1,B,1,LOG,N,UNK,,unknown,35,0,,,3,0,2,PARA,1,1,7,7 = Transect in wrong place: Bog shoreline -  transect deeper than 0.5 m
Allequash Lake,AL,27,AL,27131,1,C,1,LOG,N,UNK,,unknown,10.7,0,,,2,0,4,PARA,0,1,0,
Allequash Lake,AL,27,AL,27131,1,C,1,LOG,N,UNK,,unknown,15.3,0,,,1,0,3,PERP,0,0,0,
Allequash Lake,AL,27,AL,27141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27221,2,B,1,LOG,N,CONIFER,,conifer,13.8,0,,,3,0,3,PARA,0,0,0,
Allequash Lake,AL,27,AL,27231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27411,4,A,1,LOG,N,UNK,,unknown,13.3,0,,,,0,2,PERP,0,0,0,
Allequash Lake,AL,27,AL,27431,4,C,1,LOG,N,UNK,,unknown,18.6,0,,,3,0,2,PERP,2,0,0,
Allequash Lake,AL,27,AL,27441,4,D,1,LOG,N,BEPA,Betula papyrifera ,paper birch,18,0,,,2,0,2,PERP,1,0,0,
Allequash Lake,AL,27,AL,27451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27521,5,B,1,LOG,N,HARDWOOD,,hardwood,11.8,0,,,2,1,3,OBL,2,0,0,
Allequash Lake,AL,27,AL,27531,5,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27541,5,D,1,LOG,N,HARDWOOD,,hardwood,24.8,0,,,3,2,2,PERP,0,0,0,
Allequash Lake,AL,27,AL,27551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27611,6,A,1,LOG,N,UNK,,unknown,15.9,0,,,3,0,3,PERP,0,0,99,99=Misc note: Tag # 145
Allequash Lake,AL,27,AL,27611,6,A,1,LOG,N,CONIFER,,conifer,13.3,0,,,2,0,3,PERP,1,1,0,
Allequash Lake,AL,27,AL,27621,6,B,1,LOG,N,CONIFER,,conifer,10,0,,,1,2,3,PERP,2,1,0,
Allequash Lake,AL,27,AL,27621,6,B,1,LOG,N,CONIFER,,conifer,10.2,0,,,2,0,2,PERP,2,1,0,
Allequash Lake,AL,27,AL,27621,6,B,1,LOG,N,CONIFER,,conifer,10.7,0,,,2,3,3,PERP,3,1,0,
Allequash Lake,AL,27,AL,27641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,16,16= Rowed Transect that contains no logs: 
