"lakeID","species","nEvents","nHat","nHatLow","nHatHigh"
"HT","largemouth_bass","8","612.15","422.172413793103","1020.25"
"BY","largemouth_bass","11","943.161290322581","696.142857142857","1392.28571428571"
"DY","largemouth_bass","8","2849.25","1424.625","11397"
"SE","largemouth_bass","4","1122.6","561.3","5613"
"SV","largemouth_bass","7","352.7","207.470588235294","881.75"
"UG","largemouth_bass","13","2408.80952380952","1686.16666666667","3891.15384615385"
"WB","largemouth_bass","5","815.222222222222","489.133333333333","1834.25"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
"","","0","0","0","0"
