Age 0 to age 1 mortality with PE for cultivation/depensation ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lagged,,,,,,
WBICYR(Age 0),MWBC,COUNTY,LAKE,AREA,YEAR,WRC (at Age0),Avg AGE0CPE (t),Avg Age1CPE (t+1),Adult PE (t),Adult no./acre,Surv.,M,S,M,,,Age0,M,
23296002004,2329600,VILAS,ALDER L,274,2004,C-NR,32.5641026,4.1025641,1664,6.072992701,0.13,0.87,,,,,36.9047619,0.864516129,
21281002012,2128100,EAU CLAIRE,ALTOONA L,840,2012,NR,190.5,62.25,3035,3.613095238,0.33,0.67,,,,,16.1904762,0.602941178,
29538001995,2953800,VILAS,ANNABELLE L,213,1995,NR,36.9047619,31.4285714,362,1.699530516,0.85,0.15,0.135483871,0.864516129,,,72.7586207,0.971563981,
29538001996,2953800,VILAS,ANNABELLE L,213,1996,NR,16.1904762,5,308,1.44600939,0.31,0.69,0.397058822,0.602941178,,,58.6206897,0.676470589,
29538001997,2953800,VILAS,ANNABELLE L,213,1997,NR,20.4761905,6.4285714,814,3.821596244,0.31,0.69,,,,,55.8908046,0.938303341,
29538001999,2953800,VILAS,ANNABELLE L,213,1999,NR,70.2380952,33.5714286,990,4.647887324,0.48,0.52,,,,,140,0.939244664,
29538002003,2953800,VILAS,ANNABELLE L,213,2003,NR,5.862069,3.3333333,304,1.427230047,0.57,0.43,,,,,,,
29538002009,2953800,VILAS,ANNABELLE L,213,2009,NR,16.4285714,13.5714286,455,2.136150235,0.83,0.17,,,,,,,
29538002011,2953800,VILAS,ANNABELLE L,213,2011,NR,26.9047619,3.3333333,622,2.920187793,0.12,0.88,,,,,,,
29538002015,2953800,VILAS,ANNABELLE L,213,2015,NR,14.2857143,3.0952381,1273,5.976525822,0.22,0.78,,,,,,,
29538002017,2953800,VILAS,ANNABELLE L,213,2017,NR,1.4285714,1.19047619,520,2.441314554,0.83,0.17,,,,,,,
9688001991,968800,VILAS,ANVIL L,398,1991,NR,25,4.375,4453,11.18844221,0.18,0.83,,,,,,,
9688002006,968800,VILAS,ANVIL L,398,2006,NR,1.7777778,0,1880,4.72361809,0.00,1.00,,,M,,,,
9688002015,968800,VILAS,ANVIL L,398,2015,NR,6.6666667,0.4166667,1078,2.708542714,0.06,0.94,,,,,,,
4174002011,417400,OCONTO,ARCHIBALD L,393,2011,C-ST,2.3943662,0,459,1.167938931,0.00,1.00,,,,,,,
27340002015,2734000,BAYFIELD,ATKINS L,176,2015,C-NR,0.8695652,0,156,0.886363636,0.00,1.00,,,,,,,
26206001987,2620600,POLK,BALSAM L,2054,1987,C-,2.5110132,0.3333333,3845,1.871957157,0.13,0.87,,,,,,,
21128002016,2112800,WASHBURN,BALSAM L,295,2016,NR,3.7735849,0.5660377,552,1.871186441,0.15,0.85,,,,,,,
24519001993,2451900,WASHBURN,BASS-PATTERSON L,188,1993,NR,40.6896552,5.5172414,1104,5.872340426,0.14,0.86,,,,,,,
24519001995,2451900,WASHBURN,BASS-PATTERSON L,188,1995,NR,72.7586207,8.2758621,2294,12.20212766,0.11,0.89,0.028436019,0.971563981,,,,,
24519001996,2451900,WASHBURN,BASS-PATTERSON L,188,1996,NR,12.0689655,2.0689655,2013,10.70744681,0.17,0.83,,,,,,,
24519001998,2451900,WASHBURN,BASS-PATTERSON L,188,1998,NR,58.6206897,14.78448275,911,4.845744681,0.25,0.75,0.323529411,0.676470589,,,,,
24519001999,2451900,WASHBURN,BASS-PATTERSON L,188,1999,NR,55.8908046,18.9655172,775,4.122340426,0.34,0.66,0.061696659,0.938303341,,,,,
24519002000,2451900,WASHBURN,BASS-PATTERSON L,188,2000,NR,140,3.4482759,993,5.281914894,0.02,0.98,0.060755336,0.939244664,,,,,Age 0
24519002001,2451900,WASHBURN,BASS-PATTERSON L,188,2001,NR,39.6551724,8.5057471,865,4.60106383,0.21,0.79,,,,,,,
24519002002,2451900,WASHBURN,BASS-PATTERSON L,188,2002,NR,15.05747127,1.0344828,702,3.734042553,0.07,0.93,,,,,,,
24519002003,2451900,WASHBURN,BASS-PATTERSON L,188,2003,NR,8.9655172,1.0344828,609,3.239361702,0.12,0.88,,,,,,,
24519002004,2451900,WASHBURN,BASS-PATTERSON L,188,2004,NR,71.3793103,9.1954023,1104,5.872340426,0.13,0.87,,,,,,,
