siteID,lakeID,siteName,lat,long,UTM,updateID,siteID,sampleID,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,crew,weather,comments,metadataID,updateID,projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,metadataID,comments,updateID
LH_DeepHole,LH,DeepHole,,,,,LH_DeepHole,LH_DeepHole_20180605_0000_point_0_Limno.Sample.20160505,6/5/18,6/5/18 0:00,point,0,0,"AR,MS,JB",,,Limno.Sample.20160505,,37,LH_DeepHole_20180605_0000_point_0_Limno.Sample.20160505,LH,DeepHole,6/5/18,6/5/18 0:00,point,0,0,20.7,,,87.4,,,,,,
BH_DeepHole,BH,DeepHole,,,,,BH_DeepHole,BH_DeepHole_20180606_0000_point_0_Limno.Sample.20160505,6/6/18,6/6/18 0:00,point,0,0,"AR,MS,SP",,,Limno.Sample.20160505,,37,BH_DeepHole_20180606_0000_point_0_Limno.Sample.20160505,BH,DeepHole,6/6/18,6/6/18 0:00,point,0,0,18.3,,,84.9,,,,,,
LH_DeepHole,LH,DeepHole,,,,,LH_DeepHole,LH_DeepHole_20180607_0000_point_0_Limno.Sample.20160505,6/7/18,6/7/18 0:00,point,0,0,"AR,MS,JB",,,Limno.Sample.20160505,,37,LH_DeepHole_20180607_0000_point_0_Limno.Sample.20160505,LH,DeepHole,6/7/18,6/7/18 0:00,point,0,0,21.6,,,87.6,,,,,,
BH_DeepHole,BH,DeepHole,,,,,BH_DeepHole,BH_DeepHole_20180612_0000_point_0_Limno.Sample.20160505,6/12/18,6/12/18 0:00,point,0,0,"CD,BA,SP",,,Limno.Sample.20160505,,37,BH_DeepHole_20180612_0000_point_0_Limno.Sample.20160505,BH,DeepHole,6/12/18,6/12/18 0:00,point,0,0,21,,,85.1,,,,,,
LH_DeepHole,LH,DeepHole,,,,,LH_DeepHole,LH_DeepHole_20180614_0000_point_0_Limno.Sample.20160505,6/14/18,6/14/18 0:00,point,0,0,"CD,SP,BA",,,Limno.Sample.20160505,,37,LH_DeepHole_20180614_0000_point_0_Limno.Sample.20160505,LH,DeepHole,6/14/18,6/14/18 0:00,point,0,0,24.1,,,90.2,,,,,,
AR_DeepHole,AR,DeepHole,,,,,AR_DeepHole,AR_DeepHole_20180617_0000_point_0_Limno.Sample.20160505,6/17/18,6/17/18 0:00,point,0,0,"AR,BA,AT",,,Limno.Sample.20160505,,37,AR_DeepHole_20180617_0000_point_0_Limno.Sample.20160505,AR,DeepHole,6/17/18,6/17/18 0:00,point,0,0,21.9,,,113.9,,,,,,
BH_DeepHole,BH,DeepHole,,,,,BH_DeepHole,BH_DeepHole_20180619_0000_point_0_Limno.Sample.20160505,6/19/18,6/19/18 0:00,point,0,0,"AR,BA,SP",,,Limno.Sample.20160505,,37,BH_DeepHole_20180619_0000_point_0_Limno.Sample.20160505,BH,DeepHole,6/19/18,6/19/18 0:00,point,0,0,21.7,,,76.5,,,,,,
JS_DeepHole,JS,DeepHole,,,,,JS_DeepHole,JS_DeepHole_20180620_0000_point_0_Limno.Sample.20160505,6/20/18,6/20/18 0:00,point,0,0,"AR,BA,SP",,,Limno.Sample.20160505,,37,JS_DeepHole_20180620_0000_point_0_Limno.Sample.20160505,JS,DeepHole,6/20/18,6/20/18 0:00,point,0,0,23,,,178.5,,,,,,
WC_DeepHole,WC,DeepHole,,,,,WC_DeepHole,WC_DeepHole_20180626_0000_point_0_Limno.Sample.20160505,6/26/18,6/26/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,WC_DeepHole_20180626_0000_point_0_Limno.Sample.20160505,WC,DeepHole,6/26/18,6/26/18 0:00,point,0,0,22.9,,,166.5,,,,,,
JS_DeepHole,JS,DeepHole,,,,,JS_DeepHole,JS_DeepHole_20180628_0000_point_0_Limno.Sample.20160505,6/28/18,6/28/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,JS_DeepHole_20180628_0000_point_0_Limno.Sample.20160505,JS,DeepHole,6/28/18,6/28/18 0:00,point,0,0,25.5,,,183.7,,,,,,
