,lakeID,nSamples,nHatLow,nHat,nHatHigh,CPEhr_angle,CPEmi_shock,fishPerKmShoreline,effort_mi,effort_hr,nCaughtShock,nCaughtAngle
1,AR,6,1467.493835,2334.727273,5707.852611,1.884057971,38.35125448,695.2810584,5.58,34.5,214,65
2,BA,4,1090.173386,1845.625,6011.115571,3.406909789,Inf,239.9201369,0,20.84,147,71
3,FD,6,878.2108592,1872,-14224.21846,0.764930862,8.841201717,294.245714,11.65,33.99,103,26
4,JS,6,408.735896,640,1473.986206,0.645833333,25.83333333,180.4872553,4.8,48,124,31
5,LC,6,315.5405405,934,-972.9166667,0.25,4.480457579,198.9850987,10.49,36,47,9
6,LH,6,129.6176292,233.3333333,1167.639598,0.285640093,4.35413643,99.32705789,13.78,38.51,60,11
7,LR,6,489.5182955,918.6,7440.385019,0.659090909,9.8621421,126.2580423,9.43,44,93,29
8,TO,5,538.7626263,1066.75,53337.5,0.958333333,8.838643371,174.3309509,9.73,24,86,23
9,WC,7,282.4895115,674,-1746.433908,0.194444444,2.220324509,83.72583692,23.42,36,52,7
10,WS,5,639.527027,1893,-1971.875,1.707779886,1.84501845,917.8754417,2.71,42.16,5,72
